GO Annotation ID,GO Annotation Name,Umbrella Annotation Names,Count of OGs with Annotation,Proportion of OGs with Annotation
GO:0009788,negative regulation of abscisic acid-activated signaling pathway,"cellular process,signaling,biological regulation,response to stimulus",95,0.0035774807004330636
GO:0002229,defense response to oomycetes,response to stimulus,94,0.0035398230088495575
GO:0006897,endocytosis,"localization,cellular process",93,0.0035021653172660518
GO:0000209,protein polyubiquitination,"cellular process,metabolic process",93,0.0035021653172660518
GO:0031347,regulation of defense response,"biological regulation,response to stimulus",93,0.0035021653172660518
GO:0051607,defense response to virus,response to stimulus,93,0.0035021653172660518
GO:1900150,regulation of defense response to fungus,"biological regulation,response to stimulus",92,0.0034645076256825456
GO:0010087,phloem or xylem histogenesis,developmental process,92,0.0034645076256825456
GO:0009585,"red, far-red light phototransduction","cellular process,biological regulation,response to stimulus",90,0.0033891922425155338
GO:0009867,jasmonic acid mediated signaling pathway,"biological regulation,cellular process",89,0.003351534550932028
GO:0006629,lipid metabolic process,metabolic process,89,0.003351534550932028
GO:0048573,"photoperiodism, flowering",response to stimulus,89,0.003351534550932028
GO:0010311,lateral root formation,developmental process,88,0.003313876859348522
GO:0009791,post-embryonic development,none,88,0.003313876859348522
GO:0009740,gibberellic acid mediated signaling pathway,"biological regulation,cellular process",88,0.003313876859348522
GO:0002237,response to molecule of bacterial origin,response to stimulus,87,0.003276219167765016
GO:0006096,glycolytic process,"metabolic process,cellular process",87,0.003276219167765016
GO:0018298,protein-chromophore linkage,"cellular process,metabolic process",87,0.003276219167765016
GO:0010090,trichome morphogenesis,developmental process,86,0.00323856147618151
GO:0010182,sugar mediated signaling pathway,"biological regulation,cellular process",86,0.00323856147618151
GO:0006606,protein import into nucleus,"localization,cellular process",85,0.0032009037845980044
GO:0051028,mRNA transport,localization,83,0.003125588401430992
GO:0010082,regulation of root meristem growth,"biological regulation,developmental process",82,0.0030879307098474864
GO:0010114,response to red light,response to stimulus,82,0.0030879307098474864
GO:0042631,cellular response to water deprivation,"cellular process,response to stimulus",80,0.0030126153266804745
GO:0006869,lipid transport,localization,80,0.0030126153266804745
GO:0009739,response to gibberellin,response to stimulus,79,0.0029749576350969684
GO:0010218,response to far red light,response to stimulus,78,0.0029372999435134627
GO:0009926,auxin polar transport,"biological regulation,localization",78,0.0029372999435134627
GO:0048767,root hair elongation,"cellular process,developmental process",77,0.0028996422519299565
GO:0016579,protein deubiquitination,"cellular process,metabolic process",77,0.0028996422519299565
GO:0009809,lignin biosynthetic process,"cellular process,metabolic process",77,0.0028996422519299565
GO:0009789,positive regulation of abscisic acid-activated signaling pathway,"cellular process,signaling,biological regulation,response to stimulus",76,0.002861984560346451
GO:0009910,negative regulation of flower development,"biological regulation,developmental process",75,0.0028243268687629447
GO:0006623,protein targeting to vacuole,"cellular process,localization",75,0.0028243268687629447
GO:0009640,photomorphogenesis,response to stimulus,74,0.002786669177179439
GO:0009911,positive regulation of flower development,"biological regulation,developmental process",74,0.002786669177179439
GO:0042254,ribosome biogenesis,cellular process,73,0.002749011485595933
GO:2000280,regulation of root development,"biological regulation,developmental process",72,0.002711353794012427
GO:0006302,double-strand break repair,"cellular process,metabolic process,response to stimulus",72,0.002711353794012427
GO:0000911,cytokinesis by cell plate formation,cellular process,72,0.002711353794012427
GO:0034605,cellular response to heat,"cellular process,response to stimulus",72,0.002711353794012427
GO:0030244,cellulose biosynthetic process,"metabolic process,cellular process",71,0.002673696102428921
GO:0010118,stomatal movement,cellular process,71,0.002673696102428921
GO:0010305,leaf vascular tissue pattern formation,none,70,0.0026360384108454153
GO:0000278,mitotic cell cycle,cellular process,70,0.0026360384108454153
GO:0048510,regulation of timing of transition from vegetative to reproductive phase,"biological regulation,developmental process",69,0.002598380719261909
GO:0009630,gravitropism,response to stimulus,69,0.002598380719261909
GO:0042538,hyperosmotic salinity response,response to stimulus,68,0.0025607230276784034
GO:0009813,flavonoid biosynthetic process,metabolic process,68,0.0025607230276784034
GO:0009834,plant-type secondary cell wall biogenesis,cellular process,67,0.0025230653360948973
GO:0006914,autophagy,"cellular process,metabolic process",67,0.0025230653360948973
GO:0010029,regulation of seed germination,"biological regulation,developmental process",67,0.0025230653360948973
GO:0001666,response to hypoxia,response to stimulus,67,0.0025230653360948973
GO:0050821,protein stabilization,biological regulation,67,0.0025230653360948973
GO:0008219,cell death,cellular process,67,0.0025230653360948973
GO:0009736,cytokinin-activated signaling pathway,"biological regulation,cellular process",67,0.0025230653360948973
GO:0008284,positive regulation of cell population proliferation,"biological regulation,cellular process",67,0.0025230653360948973
GO:0051085,chaperone cofactor-dependent protein refolding,cellular process,67,0.0025230653360948973
GO:0008285,negative regulation of cell population proliferation,"biological regulation,cellular process",66,0.0024854076445113915
GO:0009749,response to glucose,response to stimulus,66,0.0024854076445113915
GO:0051603,proteolysis involved in cellular protein catabolic process,metabolic process,66,0.0024854076445113915
GO:0051302,regulation of cell division,"biological regulation,cellular process",66,0.0024854076445113915
GO:0009627,systemic acquired resistance,response to stimulus,66,0.0024854076445113915
GO:0042026,protein refolding,cellular process,66,0.0024854076445113915
GO:0031425,chloroplast RNA processing,"cellular process,metabolic process",66,0.0024854076445113915
GO:0090333,regulation of stomatal closure,"biological regulation,cellular process",65,0.0024477499529278854
GO:2000022,regulation of jasmonic acid mediated signaling pathway,"cellular process,signaling,biological regulation,response to stimulus",65,0.0024477499529278854
GO:0010091,trichome branching,developmental process,65,0.0024477499529278854
GO:0010286,heat acclimation,response to stimulus,65,0.0024477499529278854
GO:0009735,response to cytokinin,response to stimulus,65,0.0024477499529278854
GO:0010628,positive regulation of gene expression,"metabolic process,biological regulation",65,0.0024477499529278854
GO:0051252,regulation of RNA metabolic process,"cellular process,metabolic process,biological regulation",64,0.0024100922613443797
GO:0019253,reductive pentose-phosphate cycle,metabolic process,64,0.0024100922613443797
GO:0006811,ion transport,localization,64,0.0024100922613443797
GO:0048481,plant ovule development,developmental process,63,0.0023724345697608736
GO:0010051,xylem and phloem pattern formation,none,62,0.002334776878177368
GO:0009556,microsporogenesis,"cellular process,developmental process",62,0.002334776878177368
GO:0006470,protein dephosphorylation,"cellular process,metabolic process",62,0.002334776878177368
GO:0010183,pollen tube guidance,locomotion,62,0.002334776878177368
GO:0010027,thylakoid membrane organization,"cellular process,cellular component organization",62,0.002334776878177368
GO:0007346,regulation of mitotic cell cycle,"biological regulation,cellular process",62,0.002334776878177368
GO:0006887,exocytosis,"localization,cellular process",62,0.002334776878177368
GO:0006338,chromatin remodeling,"cellular process,cellular component organization",62,0.002334776878177368
GO:0015074,DNA integration,"cellular process,metabolic process",61,0.0022971191865938617
GO:0015995,chlorophyll biosynthetic process,"metabolic process,cellular process",61,0.0022971191865938617
GO:0042335,cuticle development,developmental process,61,0.0022971191865938617
GO:0010449,root meristem growth,developmental process,61,0.0022971191865938617
GO:0048527,lateral root development,developmental process,61,0.0022971191865938617
GO:0000302,response to reactive oxygen species,response to stimulus,61,0.0022971191865938617
GO:1900426,positive regulation of defense response to bacterium,"biological regulation,response to stimulus",61,0.0022971191865938617
GO:0006915,apoptotic process,cellular process,61,0.0022971191865938617
GO:0007033,vacuole organization,"cellular process,cellular component organization",60,0.002259461495010356
GO:0000373,Group II intron splicing,"cellular process,metabolic process",60,0.002259461495010356
GO:0009825,multidimensional cell growth,cellular process,60,0.002259461495010356
GO:0070417,cellular response to cold,"cellular process,response to stimulus",60,0.002259461495010356
GO:0006099,tricarboxylic acid cycle,metabolic process,60,0.002259461495010356
GO:0009644,response to high light intensity,response to stimulus,60,0.002259461495010356
GO:0002181,cytoplasmic translation,"cellular process,metabolic process",59,0.00222180380342685
GO:0045490,pectin catabolic process,metabolic process,59,0.00222180380342685
GO:0009877,nodulation,developmental process,59,0.00222180380342685
GO:0008643,carbohydrate transport,localization,59,0.00222180380342685
GO:0071215,cellular response to abscisic acid stimulus,"cellular process,response to stimulus",59,0.00222180380342685
GO:0006396,RNA processing,"cellular process,metabolic process",58,0.002184146111843344
GO:0055072,iron ion homeostasis,biological regulation,58,0.002184146111843344
GO:0031146,SCF-dependent proteasomal ubiquitin-dependent protein catabolic process,"cellular process,metabolic process",58,0.002184146111843344
GO:0031348,negative regulation of defense response,"biological regulation,response to stimulus",57,0.002146488420259838
GO:0034599,cellular response to oxidative stress,"cellular process,response to stimulus",57,0.002146488420259838
GO:0009646,response to absence of light,response to stimulus,57,0.002146488420259838
GO:0032502,developmental process,developmental process,57,0.002146488420259838
GO:0052544,defense response by callose deposition in cell wall,"cellular process,cellular component organization,localization,response to stimulus",57,0.002146488420259838
GO:0010073,meristem maintenance,none,57,0.002146488420259838
GO:0016554,cytidine to uridine editing,"cellular process,metabolic process",57,0.002146488420259838
GO:0016045,detection of bacterium,response to stimulus,56,0.0021088307286763323
GO:0007005,mitochondrion organization,"cellular process,cellular component organization",56,0.0021088307286763323
GO:0000226,microtubule cytoskeleton organization,"cellular process,cellular component organization",56,0.0021088307286763323
GO:0009853,photorespiration,"metabolic process,cellular process",56,0.0021088307286763323
GO:0002239,response to oomycetes,response to stimulus,56,0.0021088307286763323
GO:2000028,"regulation of photoperiodism, flowering","biological regulation,response to stimulus",55,0.002071173037092826
GO:0006289,nucleotide-excision repair,"cellular process,metabolic process,response to stimulus",55,0.002071173037092826
GO:0009615,response to virus,response to stimulus,55,0.002071173037092826
GO:0007015,actin filament organization,"cellular process,cellular component organization",55,0.002071173037092826
GO:0071472,cellular response to salt stress,"cellular process,response to stimulus",54,0.0020335153455093204
GO:0008360,regulation of cell shape,"biological regulation,developmental process",54,0.0020335153455093204
GO:0043066,negative regulation of apoptotic process,"cellular process,biological regulation",54,0.0020335153455093204
GO:0006631,fatty acid metabolic process,"cellular process,metabolic process",54,0.0020335153455093204
GO:0080188,gene silencing by RNA-directed DNA methylation,"cellular process,metabolic process,biological regulation",54,0.0020335153455093204
GO:0030001,metal ion transport,localization,53,0.0019958576539258143
GO:0007030,Golgi organization,"cellular process,cellular component organization",53,0.0019958576539258143
GO:0006813,potassium ion transport,localization,53,0.0019958576539258143
GO:0006898,receptor-mediated endocytosis,"localization,cellular process",53,0.0019958576539258143
GO:0010089,xylem development,developmental process,53,0.0019958576539258143
GO:0000723,telomere maintenance,"cellular process,metabolic process,biological regulation,cellular component organization",53,0.0019958576539258143
GO:0000381,"regulation of alternative mRNA splicing, via spliceosome","metabolic process,cellular process,biological regulation",53,0.0019958576539258143
GO:0050829,defense response to Gram-negative bacterium,response to stimulus,53,0.0019958576539258143
GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","metabolic process,cellular process,biological regulation",52,0.0019581999623423086
GO:0010252,auxin homeostasis,biological regulation,52,0.0019581999623423086
GO:0006306,DNA methylation,"metabolic process,cellular process",52,0.0019581999623423086
GO:0009741,response to brassinosteroid,response to stimulus,52,0.0019581999623423086
GO:0009631,cold acclimation,response to stimulus,52,0.0019581999623423086
GO:0072583,clathrin-dependent endocytosis,"localization,cellular process",52,0.0019581999623423086
GO:0006890,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum","localization,cellular process",52,0.0019581999623423086
GO:0010043,response to zinc ion,response to stimulus,51,0.0019205422707588024
GO:0006171,cAMP biosynthetic process,"metabolic process,cellular process",51,0.0019205422707588024
GO:0055075,potassium ion homeostasis,biological regulation,51,0.0019205422707588024
GO:0000027,ribosomal large subunit assembly,"cellular process,cellular component organization",51,0.0019205422707588024
GO:0006413,translational initiation,"cellular process,metabolic process",51,0.0019205422707588024
GO:0009958,positive gravitropism,response to stimulus,50,0.0018828845791752965
GO:0009664,plant-type cell wall organization,"cellular process,cellular component organization",50,0.0018828845791752965
GO:0006378,mRNA polyadenylation,"cellular process,metabolic process",50,0.0018828845791752965
GO:0043622,cortical microtubule organization,"cellular process,cellular component organization",50,0.0018828845791752965
GO:0007131,reciprocal meiotic recombination,"cellular process,metabolic process",50,0.0018828845791752965
GO:0032147,activation of protein kinase activity,"metabolic process,cellular process,biological regulation",50,0.0018828845791752965
GO:0010025,wax biosynthetic process,metabolic process,49,0.0018452268875917906
GO:0048544,recognition of pollen,cellular process,49,0.0018452268875917906
GO:0019252,starch biosynthetic process,"metabolic process,cellular process",49,0.0018452268875917906
GO:0009411,response to UV,response to stimulus,49,0.0018452268875917906
GO:2000377,regulation of reactive oxygen species metabolic process,"biological regulation,cellular process,metabolic process",48,0.0018075691960082847
GO:0009610,response to symbiotic fungus,response to stimulus,48,0.0018075691960082847
GO:0010431,seed maturation,developmental process,48,0.0018075691960082847
GO:0009718,anthocyanin-containing compound biosynthetic process,metabolic process,48,0.0018075691960082847
GO:0042752,regulation of circadian rhythm,biological regulation,48,0.0018075691960082847
GO:0006891,intra-Golgi vesicle-mediated transport,"localization,cellular process",48,0.0018075691960082847
GO:0019760,glucosinolate metabolic process,"cellular process,metabolic process",48,0.0018075691960082847
GO:0010154,fruit development,developmental process,48,0.0018075691960082847
GO:0045292,"mRNA cis splicing, via spliceosome","cellular process,metabolic process",48,0.0018075691960082847
GO:0045727,positive regulation of translation,"metabolic process,cellular process,biological regulation",48,0.0018075691960082847
GO:0048653,anther development,developmental process,48,0.0018075691960082847
GO:0045324,late endosome to vacuole transport,"localization,cellular process",47,0.0017699115044247787
GO:0006833,water transport,localization,47,0.0017699115044247787
GO:0090351,seedling development,none,47,0.0017699115044247787
GO:0051865,protein autoubiquitination,"cellular process,metabolic process",47,0.0017699115044247787
GO:0009814,defense response to other organism,response to stimulus,46,0.0017322538128412728
GO:0010193,response to ozone,response to stimulus,46,0.0017322538128412728
GO:0051225,spindle assembly,"cellular process,cellular component organization",46,0.0017322538128412728
GO:0030422,production of siRNA involved in RNA interference,"cellular process,metabolic process",46,0.0017322538128412728
GO:0030036,actin cytoskeleton organization,"cellular process,cellular component organization",46,0.0017322538128412728
GO:0006004,fucose metabolic process,metabolic process,45,0.0016945961212577669
GO:0010214,seed coat development,developmental process,45,0.0016945961212577669
GO:0006006,glucose metabolic process,metabolic process,45,0.0016945961212577669
GO:0002238,response to molecule of fungal origin,response to stimulus,45,0.0016945961212577669
GO:0042127,regulation of cell population proliferation,"biological regulation,cellular process",45,0.0016945961212577669
GO:0048589,developmental growth,developmental process,45,0.0016945961212577669
GO:0006955,immune response,response to stimulus,45,0.0016945961212577669
GO:1900865,chloroplast RNA modification,"cellular process,metabolic process",45,0.0016945961212577669
GO:0007283,spermatogenesis,developmental process,45,0.0016945961212577669
GO:0003333,amino acid transmembrane transport,"cellular process,localization",45,0.0016945961212577669
GO:0006342,chromatin silencing,"metabolic process,cellular process,biological regulation,cellular component organization",45,0.0016945961212577669
GO:0000045,autophagosome assembly,"cellular process,cellular component organization",45,0.0016945961212577669
GO:0042744,hydrogen peroxide catabolic process,"cellular process,metabolic process",45,0.0016945961212577669
GO:0032508,DNA duplex unwinding,"cellular process,cellular component organization",45,0.0016945961212577669
GO:0017148,negative regulation of translation,"metabolic process,cellular process,biological regulation",44,0.001656938429674261
GO:0042147,"retrograde transport, endosome to Golgi","cellular process,localization",44,0.001656938429674261
GO:0042546,cell wall biogenesis,cellular process,44,0.001656938429674261
GO:0009870,innate immune response-activating signal transduction,"cellular process,biological regulation,response to stimulus",44,0.001656938429674261
GO:0016126,sterol biosynthetic process,metabolic process,44,0.001656938429674261
GO:0009638,phototropism,response to stimulus,44,0.001656938429674261
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,"metabolic process,cellular process,biological regulation",43,0.001619280738090755
GO:0006353,"DNA-templated transcription, termination","cellular process,metabolic process",43,0.001619280738090755
GO:0006334,nucleosome assembly,"cellular process,cellular component organization",43,0.001619280738090755
GO:0008033,tRNA processing,"cellular process,metabolic process",43,0.001619280738090755
GO:0010105,negative regulation of ethylene-activated signaling pathway,"cellular process,signaling,biological regulation,response to stimulus",43,0.001619280738090755
GO:0009636,response to toxic substance,response to stimulus,43,0.001619280738090755
GO:0031408,oxylipin biosynthetic process,"cellular process,metabolic process",43,0.001619280738090755
GO:2000067,regulation of root morphogenesis,"biological regulation,developmental process",43,0.001619280738090755
GO:0009639,response to red or far red light,response to stimulus,43,0.001619280738090755
GO:0006094,gluconeogenesis,metabolic process,43,0.001619280738090755
GO:0045184,establishment of protein localization,localization,42,0.001581623046507249
GO:0009934,regulation of meristem structural organization,"biological regulation,developmental process",42,0.001581623046507249
GO:0042545,cell wall modification,"cellular process,cellular component organization",42,0.001581623046507249
GO:0006303,double-strand break repair via nonhomologous end joining,"metabolic process,cellular process,response to stimulus",42,0.001581623046507249
GO:0042128,nitrate assimilation,"cellular process,metabolic process",42,0.001581623046507249
GO:0023014,signal transduction,"biological regulation,cellular process",42,0.001581623046507249
GO:2000031,regulation of salicylic acid mediated signaling pathway,"cellular process,signaling,biological regulation,response to stimulus",42,0.001581623046507249
GO:0044030,regulation of DNA methylation,"metabolic process,cellular process,biological regulation",42,0.001581623046507249
GO:0009863,salicylic acid mediated signaling pathway,"biological regulation,cellular process",41,0.0015439653549237432
GO:0045489,pectin biosynthetic process,metabolic process,41,0.0015439653549237432
GO:0046854,phosphatidylinositol phosphorylation,"cellular process,metabolic process",41,0.0015439653549237432
GO:0006366,transcription by RNA polymerase II,"cellular process,metabolic process",41,0.0015439653549237432
GO:0009832,plant-type cell wall biogenesis,cellular process,41,0.0015439653549237432
GO:0007166,cell surface receptor signaling pathway,"biological regulation,cellular process",41,0.0015439653549237432
GO:0006487,protein N-linked glycosylation,"cellular process,metabolic process",41,0.0015439653549237432
GO:0009944,polarity specification of adaxial/abaxial axis,none,41,0.0015439653549237432
GO:0010359,regulation of anion channel activity,"localization,cellular process,biological regulation",40,0.0015063076633402373
GO:0009862,"systemic acquired resistance, salicylic acid mediated signaling pathway","biological regulation,cellular process",40,0.0015063076633402373
GO:0009959,negative gravitropism,response to stimulus,40,0.0015063076633402373
GO:0009561,megagametogenesis,none,40,0.0015063076633402373
GO:0008654,phospholipid biosynthetic process,"cellular process,metabolic process",40,0.0015063076633402373
GO:0031098,stress-activated protein kinase signaling cascade,"biological regulation,cellular process,response to stimulus",40,0.0015063076633402373
GO:0000462,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","cellular process,metabolic process",40,0.0015063076633402373
GO:0010584,pollen exine formation,"cellular process,developmental process,cellular component organization",40,0.0015063076633402373
GO:0036297,interstrand cross-link repair,"cellular process,metabolic process,response to stimulus",40,0.0015063076633402373
GO:0048235,pollen sperm cell differentiation,"cellular process,developmental process",39,0.0014686499717567313
GO:0007155,cell adhesion,"cellular process,biological adhesion",39,0.0014686499717567313
GO:0010223,secondary shoot formation,developmental process,39,0.0014686499717567313
GO:0030104,water homeostasis,biological regulation,39,0.0014686499717567313
GO:0040029,"regulation of gene expression, epigenetic","biological regulation,metabolic process",39,0.0014686499717567313
GO:0034613,cellular protein localization,"localization,cellular process",39,0.0014686499717567313
GO:0006520,cellular amino acid metabolic process,"cellular process,metabolic process",39,0.0014686499717567313
GO:0080092,regulation of pollen tube growth,"cellular component organization,cellular process,biological regulation,developmental process",38,0.0014309922801732254
GO:0009833,plant-type primary cell wall biogenesis,cellular process,38,0.0014309922801732254
