GO Annotation,Taxon,Count of Proteins with Annotation,Proportion of Proteins with Annotation
phragmoplast,wolfii-OEWO,141,0.004766089778258518
cytosolic large ribosomal subunit,wolfii-OEWO,134,0.00452947539210384
mitochondrial matrix,wolfii-OEWO,131,0.004428069226608978
nuclear envelope,wolfii-OEWO,123,0.004157652785289345
ribonucleoprotein complex,wolfii-OEWO,123,0.004157652785289345
P-body,wolfii-OEWO,118,0.003988642509464575
chloroplast inner membrane,wolfii-OEWO,116,0.003921038399134667
secretory vesicle,wolfii-OEWO,110,0.003718226068144943
spindle,wolfii-OEWO,108,0.0036506219578150353
chromatin,wolfii-OEWO,107,0.0036168199026500813
kinesin complex,wolfii-OEWO,102,0.003447809626825311
nuclear membrane,wolfii-OEWO,102,0.003447809626825311
integral component of endoplasmic reticulum membrane,wolfii-OEWO,101,0.003414007571660357
perinuclear region of cytoplasm,wolfii-OEWO,97,0.003278799351000541
protein-containing complex,wolfii-OEWO,97,0.003278799351000541
extracellular space,wolfii-OEWO,96,0.003244997295835587
stromule,wolfii-OEWO,95,0.0032111952406706328
extrinsic component of membrane,wolfii-OEWO,93,0.0031435911303407246
late endosome membrane,wolfii-OEWO,92,0.0031097890751757705
SCF ubiquitin ligase complex,wolfii-OEWO,88,0.0029745808545159546
cytosolic small ribosomal subunit,wolfii-OEWO,87,0.0029407787993510006
photosystem II oxygen evolving complex,wolfii-OEWO,87,0.0029407787993510006
early endosome,wolfii-OEWO,85,0.0028731746890210924
Golgi trans cisterna,wolfii-OEWO,84,0.0028393726338561383
chloroplast outer membrane,wolfii-OEWO,84,0.0028393726338561383
polysomal ribosome,wolfii-OEWO,83,0.0028055705786911842
nuclear chromatin,wolfii-OEWO,81,0.0027379664683612765
thylakoid membrane,wolfii-OEWO,80,0.0027041644131963224
extracellular exosome,wolfii-OEWO,76,0.002568956192536506
chromosome,wolfii-OEWO,74,0.002501352082206598
Golgi medial cisterna,wolfii-OEWO,73,0.0024675500270416443
cytoplasmic vesicle,wolfii-OEWO,73,0.0024675500270416443
Cul4-RING E3 ubiquitin ligase complex,wolfii-OEWO,72,0.0024337479718766902
mitochondrial outer membrane,wolfii-OEWO,71,0.002399945916711736
peroxisomal membrane,wolfii-OEWO,70,0.002366143861546782
catalytic step 2 spliceosome,wolfii-OEWO,67,0.00226473769605192
nucleosome,wolfii-OEWO,67,0.00226473769605192
plant-type vacuole,wolfii-OEWO,66,0.0022309356408869658
late endosome,wolfii-OEWO,63,0.002129529475392104
lysosome,wolfii-OEWO,61,0.002061925365062196
proteasome complex,wolfii-OEWO,60,0.0020281233098972417
small-subunit processome,wolfii-OEWO,60,0.0020281233098972417
COPI vesicle coat,wolfii-OEWO,57,0.0019267171444023797
chloroplast thylakoid lumen,wolfii-OEWO,57,0.0019267171444023797
chloroplast nucleoid,wolfii-OEWO,56,0.0018929150892374256
nuclear pore,wolfii-OEWO,55,0.0018591130340724715
SNARE complex,wolfii-OEWO,54,0.0018253109789075177
mediator complex,wolfii-OEWO,54,0.0018253109789075177
thylakoid lumen,wolfii-OEWO,53,0.0017915089237425636
nuclear body,wolfii-OEWO,52,0.0017577068685776095
pollen tube,wolfii-OEWO,52,0.0017577068685776095
cell plate,wolfii-OEWO,51,0.0017239048134126554
"chromosome, centromeric region",wolfii-OEWO,51,0.0017239048134126554
cyclin-dependent protein kinase holoenzyme complex,wolfii-OEWO,51,0.0017239048134126554
exocyst,wolfii-OEWO,50,0.0016901027582477014
actin cytoskeleton,wolfii-OEWO,49,0.0016563007030827475
vesicle,wolfii-OEWO,49,0.0016563007030827475
protein phosphatase type 2A complex,wolfii-OEWO,48,0.0016224986479177934
early endosome membrane,wolfii-OEWO,47,0.0015886965927528393
mitochondrial membrane,wolfii-OEWO,46,0.0015548945375878853
lysosomal membrane,wolfii-OEWO,43,0.0014534883720930232
PSII associated light-harvesting complex II,wolfii-OEWO,42,0.0014196863169280692
U1 snRNP,wolfii-OEWO,42,0.0014196863169280692
ubiquitin ligase complex,wolfii-OEWO,41,0.0013858842617631153
Golgi cis cisterna,wolfii-OEWO,40,0.0013520822065981612
clathrin-coated vesicle,wolfii-OEWO,40,0.0013520822065981612
endoplasmic reticulum lumen,wolfii-OEWO,40,0.0013520822065981612
cell cortex,wolfii-OEWO,39,0.0013182801514332071
transcription factor TFIID complex,wolfii-OEWO,39,0.0013182801514332071
U2-type prespliceosome,wolfii-OEWO,38,0.001284478096268253
lipid droplet,wolfii-OEWO,37,0.001250676041103299
integral component of Golgi membrane,wolfii-OEWO,36,0.0012168739859383451
multivesicular body,wolfii-OEWO,36,0.0012168739859383451
cytoplasmic vesicle membrane,wolfii-OEWO,35,0.001183071930773391
mitochondrial respiratory chain complex I,wolfii-OEWO,35,0.001183071930773391
Cajal body,wolfii-OEWO,34,0.001149269875608437
U4/U6 x U5 tri-snRNP complex,wolfii-OEWO,34,0.001149269875608437
amyloplast,wolfii-OEWO,34,0.001149269875608437
mitochondrial intermembrane space,wolfii-OEWO,34,0.001149269875608437
spindle pole,wolfii-OEWO,34,0.001149269875608437
glyoxysome,wolfii-OEWO,33,0.0011154678204434829
photosystem II antenna complex,wolfii-OEWO,33,0.0011154678204434829
small ribosomal subunit,wolfii-OEWO,33,0.0011154678204434829
Golgi cisterna membrane,wolfii-OEWO,32,0.001081665765278529
centrosome,wolfii-OEWO,32,0.001081665765278529
cytoplasmic stress granule,wolfii-OEWO,32,0.001081665765278529
cis-Golgi network,wolfii-OEWO,31,0.001047863710113575
"preribosome, large subunit precursor",wolfii-OEWO,31,0.001047863710113575
COPII vesicle coat,wolfii-OEWO,30,0.0010140616549486209
CCR4-NOT complex,wolfii-OEWO,29,0.0009802595997836668
endoplasmic reticulum-Golgi intermediate compartment,wolfii-OEWO,29,0.0009802595997836668
large ribosomal subunit,wolfii-OEWO,29,0.0009802595997836668
mismatch repair complex,wolfii-OEWO,29,0.0009802595997836668
"nuclear chromosome, telomeric region",wolfii-OEWO,29,0.0009802595997836668
RNA polymerase V complex,wolfii-OEWO,28,0.0009464575446187128
U2-type catalytic step 2 spliceosome,wolfii-OEWO,28,0.0009464575446187128
nuclear matrix,wolfii-OEWO,28,0.0009464575446187128
transcription regulator complex,wolfii-OEWO,28,0.0009464575446187128
cytoplasmic side of plasma membrane,wolfii-OEWO,27,0.0009126554894537588
precatalytic spliceosome,wolfii-OEWO,27,0.0009126554894537588
CCR4-NOT core complex,wolfii-OEWO,26,0.0008788534342888048
Cul4A-RING E3 ubiquitin ligase complex,wolfii-OEWO,26,0.0008788534342888048
cell division site,wolfii-OEWO,26,0.0008788534342888048
clathrin-coated pit,wolfii-OEWO,26,0.0008788534342888048
RNA polymerase III complex,wolfii-OEWO,25,0.0008450513791238507
eukaryotic 48S preinitiation complex,wolfii-OEWO,25,0.0008450513791238507
histone deacetylase complex,wolfii-OEWO,25,0.0008450513791238507
integral component of mitochondrial inner membrane,wolfii-OEWO,25,0.0008450513791238507
photosystem I reaction center,wolfii-OEWO,25,0.0008450513791238507
proteasome core complex,wolfii-OEWO,25,0.0008450513791238507
"proteasome regulatory particle, base subcomplex",wolfii-OEWO,25,0.0008450513791238507
Golgi transport complex,wolfii-OEWO,24,0.0008112493239588967
site of double-strand break,wolfii-OEWO,24,0.0008112493239588967
"1,3-beta-D-glucan synthase complex",wolfii-OEWO,23,0.0007774472687939426
NuA4 histone acetyltransferase complex,wolfii-OEWO,23,0.0007774472687939426
polysome,wolfii-OEWO,23,0.0007774472687939426
respirasome,wolfii-OEWO,23,0.0007774472687939426
cortical microtubule,wolfii-OEWO,22,0.0007436452136289887
eukaryotic 43S preinitiation complex,wolfii-OEWO,22,0.0007436452136289887
histone acetyltransferase complex,wolfii-OEWO,22,0.0007436452136289887
myosin complex,wolfii-OEWO,22,0.0007436452136289887
Golgi stack,wolfii-OEWO,21,0.0007098431584640346
SAGA complex,wolfii-OEWO,21,0.0007098431584640346
autophagosome,wolfii-OEWO,21,0.0007098431584640346
cell surface,wolfii-OEWO,21,0.0007098431584640346
"chromosome, telomeric region",wolfii-OEWO,21,0.0007098431584640346
clathrin-coated vesicle membrane,wolfii-OEWO,21,0.0007098431584640346
commitment complex,wolfii-OEWO,21,0.0007098431584640346
mitotic spindle,wolfii-OEWO,21,0.0007098431584640346
nuclear periphery,wolfii-OEWO,21,0.0007098431584640346
CORVET complex,wolfii-OEWO,20,0.0006760411032990806
Ino80 complex,wolfii-OEWO,20,0.0006760411032990806
U12-type spliceosomal complex,wolfii-OEWO,20,0.0006760411032990806
cell periphery,wolfii-OEWO,20,0.0006760411032990806
cellulose synthase complex,wolfii-OEWO,20,0.0006760411032990806
eukaryotic translation initiation factor 3 complex,wolfii-OEWO,20,0.0006760411032990806
histone methyltransferase complex,wolfii-OEWO,20,0.0006760411032990806
nuclear exosome (RNase complex),wolfii-OEWO,20,0.0006760411032990806
plastid stroma,wolfii-OEWO,20,0.0006760411032990806
U2 snRNP,wolfii-OEWO,19,0.0006422390481341265
U2-type precatalytic spliceosome,wolfii-OEWO,19,0.0006422390481341265
phagophore assembly site membrane,wolfii-OEWO,19,0.0006422390481341265
protein storage vacuole,wolfii-OEWO,19,0.0006422390481341265
HOPS complex,wolfii-OEWO,18,0.0006084369929691726
Swr1 complex,wolfii-OEWO,18,0.0006084369929691726
endoplasmic reticulum exit site,wolfii-OEWO,18,0.0006084369929691726
kinetochore,wolfii-OEWO,18,0.0006084369929691726
midbody,wolfii-OEWO,18,0.0006084369929691726
plastid chromosome,wolfii-OEWO,18,0.0006084369929691726
pore complex,wolfii-OEWO,18,0.0006084369929691726
replication fork,wolfii-OEWO,18,0.0006084369929691726
transport vesicle,wolfii-OEWO,18,0.0006084369929691726
COPII-coated ER to Golgi transport vesicle,wolfii-OEWO,17,0.0005746349378042185
DNA replication factor C complex,wolfii-OEWO,17,0.0005746349378042185
Prp19 complex,wolfii-OEWO,17,0.0005746349378042185
cell projection,wolfii-OEWO,17,0.0005746349378042185
chaperonin-containing T-complex,wolfii-OEWO,17,0.0005746349378042185
condensed chromosome kinetochore,wolfii-OEWO,17,0.0005746349378042185
"proton-transporting ATP synthase complex, catalytic core F(1)",wolfii-OEWO,17,0.0005746349378042185
translation release factor complex,wolfii-OEWO,17,0.0005746349378042185
"RNA polymerase II, core complex",wolfii-OEWO,16,0.0005408328826392645
anaphase-promoting complex,wolfii-OEWO,16,0.0005408328826392645
apical plasma membrane,wolfii-OEWO,16,0.0005408328826392645
chloride channel complex,wolfii-OEWO,16,0.0005408328826392645
gamma-tubulin complex,wolfii-OEWO,16,0.0005408328826392645
heterochromatin,wolfii-OEWO,16,0.0005408328826392645
integral component of chloroplast outer membrane,wolfii-OEWO,16,0.0005408328826392645
microtubule organizing center,wolfii-OEWO,16,0.0005408328826392645
nuclear euchromatin,wolfii-OEWO,16,0.0005408328826392645
nuclear pore outer ring,wolfii-OEWO,16,0.0005408328826392645
phagophore assembly site,wolfii-OEWO,16,0.0005408328826392645
protein storage vacuole membrane,wolfii-OEWO,16,0.0005408328826392645
root hair,wolfii-OEWO,16,0.0005408328826392645
"signal recognition particle, endoplasmic reticulum targeting",wolfii-OEWO,16,0.0005408328826392645
supramolecular complex,wolfii-OEWO,16,0.0005408328826392645
MCM complex,wolfii-OEWO,15,0.0005070308274743104
U5 snRNP,wolfii-OEWO,15,0.0005070308274743104
VCP-NPL4-UFD1 AAA ATPase complex,wolfii-OEWO,15,0.0005070308274743104
autophagosome membrane,wolfii-OEWO,15,0.0005070308274743104
clathrin adaptor complex,wolfii-OEWO,15,0.0005070308274743104
mRNA cleavage factor complex,wolfii-OEWO,15,0.0005070308274743104
mitochondrial large ribosomal subunit,wolfii-OEWO,15,0.0005070308274743104
mitochondrial respiratory chain complex III,wolfii-OEWO,15,0.0005070308274743104
nuclear chromosome,wolfii-OEWO,15,0.0005070308274743104
plastid nucleoid,wolfii-OEWO,15,0.0005070308274743104
"proteasome core complex, beta-subunit complex",wolfii-OEWO,15,0.0005070308274743104
PML body,wolfii-OEWO,14,0.0004732287723093564
RNA polymerase I complex,wolfii-OEWO,14,0.0004732287723093564
RNA polymerase IV complex,wolfii-OEWO,14,0.0004732287723093564
chloroplast thylakoid membrane protein complex,wolfii-OEWO,14,0.0004732287723093564
condensed chromosome,wolfii-OEWO,14,0.0004732287723093564
condensed nuclear chromosome,wolfii-OEWO,14,0.0004732287723093564
equatorial microtubule organizing center,wolfii-OEWO,14,0.0004732287723093564
mitochondrial small ribosomal subunit,wolfii-OEWO,14,0.0004732287723093564
oligosaccharyltransferase complex,wolfii-OEWO,14,0.0004732287723093564
phagocytic vesicle,wolfii-OEWO,14,0.0004732287723093564
post-mRNA release spliceosomal complex,wolfii-OEWO,14,0.0004732287723093564
postsynaptic membrane,wolfii-OEWO,14,0.0004732287723093564
preprophase band,wolfii-OEWO,14,0.0004732287723093564
trans-Golgi network transport vesicle,wolfii-OEWO,14,0.0004732287723093564
90S preribosome,wolfii-OEWO,13,0.0004394267171444024
DNA replication factor A complex,wolfii-OEWO,13,0.0004394267171444024
ESCRT III complex,wolfii-OEWO,13,0.0004394267171444024
NAD(P)H dehydrogenase complex (plastoquinone),wolfii-OEWO,13,0.0004394267171444024
P granule,wolfii-OEWO,13,0.0004394267171444024
THO complex,wolfii-OEWO,13,0.0004394267171444024
U2-type spliceosomal complex,wolfii-OEWO,13,0.0004394267171444024
U2AF complex,wolfii-OEWO,13,0.0004394267171444024
chromatin silencing complex,wolfii-OEWO,13,0.0004394267171444024
cytoplasmic exosome (RNase complex),wolfii-OEWO,13,0.0004394267171444024
cytosolic proteasome complex,wolfii-OEWO,13,0.0004394267171444024
endopeptidase Clp complex,wolfii-OEWO,13,0.0004394267171444024
eukaryotic translation initiation factor 2B complex,wolfii-OEWO,13,0.0004394267171444024
glycine cleavage complex,wolfii-OEWO,13,0.0004394267171444024
integral component of mitochondrial outer membrane,wolfii-OEWO,13,0.0004394267171444024
integral component of peroxisomal membrane,wolfii-OEWO,13,0.0004394267171444024
mitochondrial nucleoid,wolfii-OEWO,13,0.0004394267171444024
"proteasome core complex, alpha-subunit complex",wolfii-OEWO,13,0.0004394267171444024
recycling endosome,wolfii-OEWO,13,0.0004394267171444024
respiratory chain complex I,wolfii-OEWO,13,0.0004394267171444024
retromer complex,wolfii-OEWO,13,0.0004394267171444024
spindle microtubule,wolfii-OEWO,13,0.0004394267171444024
transcription factor TFIIIC complex,wolfii-OEWO,13,0.0004394267171444024
ER to Golgi transport vesicle membrane,wolfii-OEWO,12,0.00040562466197944835
Smc5-Smc6 complex,wolfii-OEWO,12,0.00040562466197944835
cullin-RING ubiquitin ligase complex,wolfii-OEWO,12,0.00040562466197944835
heterotrimeric G-protein complex,wolfii-OEWO,12,0.00040562466197944835
host cell,wolfii-OEWO,12,0.00040562466197944835
integral component of cytoplasmic side of endoplasmic reticulum membrane,wolfii-OEWO,12,0.00040562466197944835
microtubule associated complex,wolfii-OEWO,12,0.00040562466197944835
periplasmic space,wolfii-OEWO,12,0.00040562466197944835
recycling endosome membrane,wolfii-OEWO,12,0.00040562466197944835
Pwp2p-containing subcomplex of 90S preribosome,wolfii-OEWO,11,0.00037182260681449433
SWI/SNF complex,wolfii-OEWO,11,0.00037182260681449433
TIM23 mitochondrial import inner membrane translocase complex,wolfii-OEWO,11,0.00037182260681449433
U4 snRNP,wolfii-OEWO,11,0.00037182260681449433
actin filament,wolfii-OEWO,11,0.00037182260681449433
cell junction,wolfii-OEWO,11,0.00037182260681449433
cell tip,wolfii-OEWO,11,0.00037182260681449433
chromocenter,wolfii-OEWO,11,0.00037182260681449433
ciliary basal body,wolfii-OEWO,11,0.00037182260681449433
dense core granule membrane,wolfii-OEWO,11,0.00037182260681449433
external side of plasma membrane,wolfii-OEWO,11,0.00037182260681449433
mitochondrial envelope,wolfii-OEWO,11,0.00037182260681449433
plastid envelope,wolfii-OEWO,11,0.00037182260681449433
"proton-transporting ATP synthase complex, coupling factor F(o)",wolfii-OEWO,11,0.00037182260681449433
spliceosomal tri-snRNP complex,wolfii-OEWO,11,0.00037182260681449433
transcription factor TFIIH holo complex,wolfii-OEWO,11,0.00037182260681449433
COP9 signalosome,wolfii-OEWO,10,0.0003380205516495403
DNA polymerase III complex,wolfii-OEWO,10,0.0003380205516495403
ER membrane protein complex,wolfii-OEWO,10,0.0003380205516495403
MutSalpha complex,wolfii-OEWO,10,0.0003380205516495403
R2TP complex,wolfii-OEWO,10,0.0003380205516495403
SMN-Sm protein complex,wolfii-OEWO,10,0.0003380205516495403
VCB complex,wolfii-OEWO,10,0.0003380205516495403
axon,wolfii-OEWO,10,0.0003380205516495403
axoneme,wolfii-OEWO,10,0.0003380205516495403
chloroplast intermembrane space,wolfii-OEWO,10,0.0003380205516495403
cytoplasmic microtubule,wolfii-OEWO,10,0.0003380205516495403
dendrite,wolfii-OEWO,10,0.0003380205516495403
dendritic spine,wolfii-OEWO,10,0.0003380205516495403
exosome (RNase complex),wolfii-OEWO,10,0.0003380205516495403
integral component of lumenal side of endoplasmic reticulum membrane,wolfii-OEWO,10,0.0003380205516495403
microtubule cytoskeleton,wolfii-OEWO,10,0.0003380205516495403
multivesicular body membrane,wolfii-OEWO,10,0.0003380205516495403
nascent polypeptide-associated complex,wolfii-OEWO,10,0.0003380205516495403
nuclear RNA-directed RNA polymerase complex,wolfii-OEWO,10,0.0003380205516495403
nuclear origin of replication recognition complex,wolfii-OEWO,10,0.0003380205516495403
nuclear pore cytoplasmic filaments,wolfii-OEWO,10,0.0003380205516495403
peroxisomal matrix,wolfii-OEWO,10,0.0003380205516495403
protein kinase CK2 complex,wolfii-OEWO,10,0.0003380205516495403
transport vesicle membrane,wolfii-OEWO,10,0.0003380205516495403
vacuolar proton-transporting V-type ATPase complex,wolfii-OEWO,10,0.0003380205516495403
Cdc73/Paf1 complex,wolfii-OEWO,9,0.0003042184964845863
Golgi-associated vesicle,wolfii-OEWO,9,0.0003042184964845863
TRAPP complex,wolfii-OEWO,9,0.0003042184964845863
XPC complex,wolfii-OEWO,9,0.0003042184964845863
central vacuole,wolfii-OEWO,9,0.0003042184964845863
chloroplast starch grain,wolfii-OEWO,9,0.0003042184964845863
chloroplastic endopeptidase Clp complex,wolfii-OEWO,9,0.0003042184964845863
cyclin/CDK positive transcription elongation factor complex,wolfii-OEWO,9,0.0003042184964845863
eukaryotic translation initiation factor 4F complex,wolfii-OEWO,9,0.0003042184964845863
exon-exon junction complex,wolfii-OEWO,9,0.0003042184964845863
extrinsic component of mitochondrial inner membrane,wolfii-OEWO,9,0.0003042184964845863
fibrillar center,wolfii-OEWO,9,0.0003042184964845863
glutamatergic synapse,wolfii-OEWO,9,0.0003042184964845863
mRNA cleavage and polyadenylation specificity factor complex,wolfii-OEWO,9,0.0003042184964845863
"mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)",wolfii-OEWO,9,0.0003042184964845863
motile cilium,wolfii-OEWO,9,0.0003042184964845863
nuclear microtubule,wolfii-OEWO,9,0.0003042184964845863
nuclear pore central transport channel,wolfii-OEWO,9,0.0003042184964845863
nucleotide-excision repair factor 2 complex,wolfii-OEWO,9,0.0003042184964845863
plastid-encoded plastid RNA polymerase complex,wolfii-OEWO,9,0.0003042184964845863
proteasome storage granule,wolfii-OEWO,9,0.0003042184964845863
retrotransposon nucleocapsid,wolfii-OEWO,9,0.0003042184964845863
small nucleolar ribonucleoprotein complex,wolfii-OEWO,9,0.0003042184964845863
transcription factor TFIIK complex,wolfii-OEWO,9,0.0003042184964845863
CCAAT-binding factor complex,wolfii-OEWO,8,0.00027041644131963225
COPI-coated vesicle,wolfii-OEWO,8,0.00027041644131963225
GID complex,wolfii-OEWO,8,0.00027041644131963225
HAUS complex,wolfii-OEWO,8,0.00027041644131963225
U2-type post-mRNA release spliceosomal complex,wolfii-OEWO,8,0.00027041644131963225
Ycf2/FtsHi complex,wolfii-OEWO,8,0.00027041644131963225
actin filament bundle,wolfii-OEWO,8,0.00027041644131963225
basal plasma membrane,wolfii-OEWO,8,0.00027041644131963225
centriole,wolfii-OEWO,8,0.00027041644131963225
chromoplast,wolfii-OEWO,8,0.00027041644131963225
endocytic vesicle,wolfii-OEWO,8,0.00027041644131963225
endoplasmic reticulum chaperone complex,wolfii-OEWO,8,0.00027041644131963225
extrinsic component of plasma membrane,wolfii-OEWO,8,0.00027041644131963225
glutamyl-tRNA(Gln) amidotransferase complex,wolfii-OEWO,8,0.00027041644131963225
glycerol-3-phosphate dehydrogenase complex,wolfii-OEWO,8,0.00027041644131963225
microtubule minus-end,wolfii-OEWO,8,0.00027041644131963225
mitochondrial processing peptidase complex,wolfii-OEWO,8,0.00027041644131963225
neuromuscular junction,wolfii-OEWO,8,0.00027041644131963225
nuclear heterochromatin,wolfii-OEWO,8,0.00027041644131963225
nuclear lumen,wolfii-OEWO,8,0.00027041644131963225
nuclear pre-replicative complex,wolfii-OEWO,8,0.00027041644131963225
organelle membrane,wolfii-OEWO,8,0.00027041644131963225
oxoglutarate dehydrogenase complex,wolfii-OEWO,8,0.00027041644131963225
pICln-Sm protein complex,wolfii-OEWO,8,0.00027041644131963225
phenylalanine-tRNA ligase complex,wolfii-OEWO,8,0.00027041644131963225
pollen tube tip,wolfii-OEWO,8,0.00027041644131963225
prefoldin complex,wolfii-OEWO,8,0.00027041644131963225
"preribosome, small subunit precursor",wolfii-OEWO,8,0.00027041644131963225
respiratory chain complex II,wolfii-OEWO,8,0.00027041644131963225
root hair tip,wolfii-OEWO,8,0.00027041644131963225
AP-2 adaptor complex,wolfii-OEWO,7,0.0002366143861546782
ASAP complex,wolfii-OEWO,7,0.0002366143861546782
Arp2/3 protein complex,wolfii-OEWO,7,0.0002366143861546782
Atg1/ULK1 kinase complex,wolfii-OEWO,7,0.0002366143861546782
DNA replication preinitiation complex,wolfii-OEWO,7,0.0002366143861546782
Elongator holoenzyme complex,wolfii-OEWO,7,0.0002366143861546782
Golgi-associated vesicle membrane,wolfii-OEWO,7,0.0002366143861546782
MLL1 complex,wolfii-OEWO,7,0.0002366143861546782
Mre11 complex,wolfii-OEWO,7,0.0002366143861546782
MutLalpha complex,wolfii-OEWO,7,0.0002366143861546782
MutSbeta complex,wolfii-OEWO,7,0.0002366143861546782
PcG protein complex,wolfii-OEWO,7,0.0002366143861546782
RNA polymerase II transcription regulator complex,wolfii-OEWO,7,0.0002366143861546782
Rab-protein geranylgeranyltransferase complex,wolfii-OEWO,7,0.0002366143861546782
Scc2-Scc4 cohesin loading complex,wolfii-OEWO,7,0.0002366143861546782
Sec62/Sec63 complex,wolfii-OEWO,7,0.0002366143861546782
THO complex part of transcription export complex,wolfii-OEWO,7,0.0002366143861546782
TIM22 mitochondrial import inner membrane insertion complex,wolfii-OEWO,7,0.0002366143861546782
U2-type catalytic step 1 spliceosome,wolfii-OEWO,7,0.0002366143861546782
Z disc,wolfii-OEWO,7,0.0002366143861546782
acetyl-CoA carboxylase complex,wolfii-OEWO,7,0.0002366143861546782
box C/D snoRNP complex,wolfii-OEWO,7,0.0002366143861546782
clathrin coat of coated pit,wolfii-OEWO,7,0.0002366143861546782
clathrin vesicle coat,wolfii-OEWO,7,0.0002366143861546782
core mediator complex,wolfii-OEWO,7,0.0002366143861546782
delta DNA polymerase complex,wolfii-OEWO,7,0.0002366143861546782
endoplasmic reticulum-Golgi intermediate compartment membrane,wolfii-OEWO,7,0.0002366143861546782
epsilon DNA polymerase complex,wolfii-OEWO,7,0.0002366143861546782
"eukaryotic translation initiation factor 3 complex, eIF3e",wolfii-OEWO,7,0.0002366143861546782
extracellular matrix,wolfii-OEWO,7,0.0002366143861546782
extrinsic component of endoplasmic reticulum membrane,wolfii-OEWO,7,0.0002366143861546782
gamma-tubulin ring complex,wolfii-OEWO,7,0.0002366143861546782
glyoxysomal membrane,wolfii-OEWO,7,0.0002366143861546782
mitochondrial alpha-ketoglutarate dehydrogenase complex,wolfii-OEWO,7,0.0002366143861546782
mitochondrial oxoglutarate dehydrogenase complex,wolfii-OEWO,7,0.0002366143861546782
"mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)",wolfii-OEWO,7,0.0002366143861546782
mitochondrial pyruvate dehydrogenase complex,wolfii-OEWO,7,0.0002366143861546782
mitotic spindle pole,wolfii-OEWO,7,0.0002366143861546782
mitotic spindle pole body,wolfii-OEWO,7,0.0002366143861546782
nuclear dicing body,wolfii-OEWO,7,0.0002366143861546782
nuclear lamina,wolfii-OEWO,7,0.0002366143861546782
origin recognition complex,wolfii-OEWO,7,0.0002366143861546782
plastid thylakoid membrane,wolfii-OEWO,7,0.0002366143861546782
postsynaptic density membrane,wolfii-OEWO,7,0.0002366143861546782
"proteasome regulatory particle, lid subcomplex",wolfii-OEWO,7,0.0002366143861546782
