GO Annotation ID,GO Annotation Name,Umbrella Annotation Names,Count of OGs with Annotation,Proportion of OGs with Annotation
GO:0022857,transmembrane transporter activity,transporter activity,154,0.005799284503859913
GO:0008168,methyltransferase activity,catalytic activity,149,0.005610996045942384
GO:0019843,rRNA binding,binding,149,0.005610996045942384
GO:0008289,lipid binding,binding,149,0.005610996045942384
GO:0000166,nucleotide binding,binding,143,0.0053850498964413485
GO:0016740,transferase activity,catalytic activity,142,0.005347392204857842
GO:0042393,histone binding,binding,137,0.0051591037469403125
GO:0003953,NAD+ nucleosidase activity,catalytic activity,136,0.005121446055356807
GO:0019901,protein kinase binding,binding,135,0.005083788363773301
GO:0051539,"4 iron, 4 sulfur cluster binding",binding,126,0.004744869139521747
GO:0004190,aspartic-type endopeptidase activity,catalytic activity,123,0.004631896064771229
GO:0004252,serine-type endopeptidase activity,catalytic activity,120,0.004518922990020712
GO:0003777,microtubule motor activity,catalytic activity,120,0.004518922990020712
GO:0003697,single-stranded DNA binding,binding,118,0.0044436076068537
GO:0004386,helicase activity,catalytic activity,115,0.004330634532103182
GO:0030170,pyridoxal phosphate binding,binding,112,0.004217661457352665
GO:0004519,endonuclease activity,catalytic activity,109,0.004104688382602147
GO:0042626,ATPase-coupled transmembrane transporter activity,"transporter activity,catalytic activity",109,0.004104688382602147
GO:0051287,NAD binding,binding,108,0.004067030691018641
GO:0051015,actin filament binding,binding,105,0.003954057616268123
GO:0004722,protein serine/threonine phosphatase activity,catalytic activity,104,0.003916399924684617
GO:0019904,protein domain specific binding,binding,103,0.003878742233101111
GO:0046982,protein heterodimerization activity,binding,102,0.003841084541517605
GO:0009055,electron transfer activity,catalytic activity,101,0.003803426849934099
GO:0005096,GTPase activator activity,molecular function regulator,99,0.0037281114667670873
GO:0031625,ubiquitin protein ligase binding,binding,99,0.0037281114667670873
GO:0051213,dioxygenase activity,catalytic activity,96,0.0036151383920165693
GO:0004497,monooxygenase activity,catalytic activity,96,0.0036151383920165693
GO:0015297,antiporter activity,transporter activity,93,0.0035021653172660518
GO:0008134,transcription factor binding,binding,90,0.0033891922425155338
GO:0019900,kinase binding,binding,86,0.00323856147618151
GO:0003690,double-stranded DNA binding,binding,83,0.003125588401430992
GO:0050660,flavin adenine dinucleotide binding,binding,82,0.0030879307098474864
GO:0003779,actin binding,binding,82,0.0030879307098474864
GO:0000049,tRNA binding,binding,82,0.0030879307098474864
GO:0043130,ubiquitin binding,binding,80,0.0030126153266804745
GO:0050661,NADP binding,binding,80,0.0030126153266804745
GO:0004197,cysteine-type endopeptidase activity,catalytic activity,79,0.0029749576350969684
GO:0003743,translation initiation factor activity,"binding,translation regulator activity",79,0.0029749576350969684
GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",catalytic activity,76,0.002861984560346451
GO:0008094,DNA-dependent ATPase activity,catalytic activity,74,0.002786669177179439
GO:0003678,DNA helicase activity,catalytic activity,74,0.002786669177179439
GO:0004222,metalloendopeptidase activity,catalytic activity,72,0.002711353794012427
GO:0008194,UDP-glycosyltransferase activity,catalytic activity,72,0.002711353794012427
GO:0003712,transcription coregulator activity,"molecular function regulator,transcription regulator activity",72,0.002711353794012427
GO:0004724,magnesium-dependent protein serine/threonine phosphatase activity,catalytic activity,72,0.002711353794012427
GO:0003899,DNA-directed 5'-3' RNA polymerase activity,catalytic activity,71,0.002673696102428921
GO:0016788,"hydrolase activity, acting on ester bonds",catalytic activity,71,0.002673696102428921
GO:0003684,damaged DNA binding,binding,70,0.0026360384108454153
GO:0043022,ribosome binding,binding,70,0.0026360384108454153
GO:0004843,thiol-dependent ubiquitin-specific protease activity,catalytic activity,68,0.0025607230276784034
GO:0003964,RNA-directed DNA polymerase activity,catalytic activity,68,0.0025607230276784034
GO:0052689,carboxylic ester hydrolase activity,catalytic activity,68,0.0025607230276784034
GO:0031072,heat shock protein binding,binding,67,0.0025230653360948973
GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,binding,66,0.0024854076445113915
GO:0003887,DNA-directed DNA polymerase activity,catalytic activity,65,0.0024477499529278854
GO:0019899,enzyme binding,binding,65,0.0024477499529278854
GO:0004601,peroxidase activity,"catalytic activity,antioxidant activity",65,0.0024477499529278854
GO:0005198,structural molecule activity,structural molecule activity,65,0.0024477499529278854
GO:0044877,protein-containing complex binding,binding,65,0.0024477499529278854
GO:0051537,"2 iron, 2 sulfur cluster binding",binding,64,0.0024100922613443797
GO:0050897,cobalt ion binding,binding,64,0.0024100922613443797
GO:0004721,phosphoprotein phosphatase activity,catalytic activity,63,0.0023724345697608736
GO:0004712,protein serine/threonine/tyrosine kinase activity,catalytic activity,63,0.0023724345697608736
GO:0016758,"transferase activity, transferring hexosyl groups",catalytic activity,63,0.0023724345697608736
GO:0008233,peptidase activity,catalytic activity,63,0.0023724345697608736
GO:0003746,translation elongation factor activity,"binding,translation regulator activity",62,0.002334776878177368
GO:0003755,peptidyl-prolyl cis-trans isomerase activity,catalytic activity,61,0.0022971191865938617
GO:0051087,chaperone binding,binding,60,0.002259461495010356
GO:0016709,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen",catalytic activity,60,0.002259461495010356
GO:0000976,transcription regulatory region sequence-specific DNA binding,binding,60,0.002259461495010356
GO:0033612,receptor serine/threonine kinase binding,binding,60,0.002259461495010356
GO:0071949,FAD binding,binding,59,0.00222180380342685
GO:0004714,transmembrane receptor protein tyrosine kinase activity,"signaling receptor activity,molecular transducer activity,catalytic activity",58,0.002184146111843344
GO:0003713,transcription coactivator activity,"molecular function regulator,transcription regulator activity",58,0.002184146111843344
GO:0005102,signaling receptor binding,binding,57,0.002146488420259838
GO:0030247,polysaccharide binding,binding,55,0.002071173037092826
GO:0016168,chlorophyll binding,binding,54,0.0020335153455093204
GO:0017137,small GTPase binding,binding,54,0.0020335153455093204
GO:0015035,protein disulfide oxidoreductase activity,catalytic activity,53,0.0019958576539258143
GO:0000149,SNARE binding,binding,53,0.0019958576539258143
GO:0016298,lipase activity,catalytic activity,52,0.0019581999623423086
GO:0003714,transcription corepressor activity,"molecular function regulator,transcription regulator activity",52,0.0019581999623423086
GO:0030145,manganese ion binding,binding,51,0.0019205422707588024
GO:0015293,symporter activity,transporter activity,51,0.0019205422707588024
GO:0004176,ATP-dependent peptidase activity,catalytic activity,50,0.0018828845791752965
GO:0004175,endopeptidase activity,catalytic activity,50,0.0018828845791752965
GO:0004402,histone acetyltransferase activity,catalytic activity,49,0.0018452268875917906
GO:0016413,O-acetyltransferase activity,catalytic activity,48,0.0018075691960082847
GO:0015171,amino acid transmembrane transporter activity,transporter activity,48,0.0018075691960082847
GO:0042973,"glucan endo-1,3-beta-D-glucosidase activity",catalytic activity,48,0.0018075691960082847
GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding,binding,47,0.0017699115044247787
GO:0008266,poly(U) RNA binding,binding,47,0.0017699115044247787
GO:0030674,protein-macromolecule adaptor activity,molecular adaptor activity,46,0.0017322538128412728
GO:0016874,ligase activity,catalytic activity,45,0.0016945961212577669
GO:0008536,small GTPase binding,binding,45,0.0016945961212577669
GO:0035251,UDP-glucosyltransferase activity,catalytic activity,45,0.0016945961212577669
GO:0051117,ATPase binding,binding,45,0.0016945961212577669
GO:0005085,guanyl-nucleotide exchange factor activity,molecular function regulator,43,0.001619280738090755
GO:0031418,L-ascorbic acid binding,binding,43,0.001619280738090755
GO:0017056,structural constituent of nuclear pore,structural molecule activity,43,0.001619280738090755
GO:0061608,nuclear import signal receptor activity,molecular carrier activity,43,0.001619280738090755
GO:0008139,nuclear localization sequence binding,binding,43,0.001619280738090755
GO:0030544,Hsp70 protein binding,binding,43,0.001619280738090755
GO:0004518,nuclease activity,catalytic activity,42,0.001581623046507249
GO:0061631,ubiquitin conjugating enzyme activity,catalytic activity,41,0.0015439653549237432
GO:0019199,transmembrane receptor protein kinase activity,"signaling receptor activity,molecular transducer activity,catalytic activity",41,0.0015439653549237432
GO:0004713,protein tyrosine kinase activity,catalytic activity,41,0.0015439653549237432
GO:0005347,ATP transmembrane transporter activity,transporter activity,41,0.0015439653549237432
GO:0009931,calcium-dependent protein serine/threonine kinase activity,catalytic activity,41,0.0015439653549237432
GO:0010181,FMN binding,binding,41,0.0015439653549237432
GO:0030275,LRR domain binding,binding,41,0.0015439653549237432
GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",transcription regulator activity,40,0.0015063076633402373
GO:0016791,phosphatase activity,catalytic activity,40,0.0015063076633402373
GO:0016829,lyase activity,catalytic activity,40,0.0015063076633402373
GO:0003727,single-stranded RNA binding,binding,39,0.0014686499717567313
GO:0016747,"transferase activity, transferring acyl groups other than amino-acyl groups",catalytic activity,39,0.0014686499717567313
GO:0005200,structural constituent of cytoskeleton,structural molecule activity,39,0.0014686499717567313
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific",transcription regulator activity,39,0.0014686499717567313
GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",catalytic activity,39,0.0014686499717567313
GO:0008757,S-adenosylmethionine-dependent methyltransferase activity,catalytic activity,38,0.0014309922801732254
GO:0035064,methylated histone binding,binding,38,0.0014309922801732254
GO:0005484,SNAP receptor activity,molecular adaptor activity,37,0.0013933345885897195
GO:0004857,enzyme inhibitor activity,molecular function regulator,37,0.0013933345885897195
GO:0004185,serine-type carboxypeptidase activity,catalytic activity,37,0.0013933345885897195
GO:0016746,"transferase activity, transferring acyl groups",catalytic activity,37,0.0013933345885897195
GO:0008559,ABC-type xenobiotic transporter activity,"transporter activity,catalytic activity",37,0.0013933345885897195
GO:0003993,acid phosphatase activity,catalytic activity,37,0.0013933345885897195
GO:0030515,snoRNA binding,binding,36,0.0013556768970062136
GO:0004709,MAP kinase kinase kinase activity,catalytic activity,36,0.0013556768970062136
GO:0080043,quercetin 3-O-glucosyltransferase activity,catalytic activity,35,0.0013180192054227076
GO:0042162,telomeric DNA binding,binding,35,0.0013180192054227076
GO:0005543,phospholipid binding,binding,35,0.0013180192054227076
GO:0080030,methyl indole-3-acetate esterase activity,catalytic activity,35,0.0013180192054227076
GO:0000175,3'-5'-exoribonuclease activity,catalytic activity,35,0.0013180192054227076
GO:0048038,quinone binding,binding,35,0.0013180192054227076
GO:0008237,metallopeptidase activity,catalytic activity,35,0.0013180192054227076
GO:0050662,obsolete coenzyme binding,none,35,0.0013180192054227076
GO:0004693,cyclin-dependent protein serine/threonine kinase activity,catalytic activity,35,0.0013180192054227076
GO:0016538,cyclin-dependent protein serine/threonine kinase regulator activity,molecular function regulator,35,0.0013180192054227076
GO:0031490,chromatin DNA binding,binding,35,0.0013180192054227076
GO:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",catalytic activity,34,0.0012803615138392017
GO:0045296,cadherin binding,binding,34,0.0012803615138392017
GO:0035091,phosphatidylinositol binding,binding,34,0.0012803615138392017
GO:0030599,pectinesterase activity,catalytic activity,34,0.0012803615138392017
GO:0038023,signaling receptor activity,molecular transducer activity,34,0.0012803615138392017
GO:0045330,aspartyl esterase activity,catalytic activity,34,0.0012803615138392017
GO:0044183,protein folding chaperone,none,34,0.0012803615138392017
GO:0046910,pectinesterase inhibitor activity,molecular function regulator,32,0.0012050461306721898
GO:0035673,oligopeptide transmembrane transporter activity,transporter activity,32,0.0012050461306721898
GO:0004523,RNA-DNA hybrid ribonuclease activity,catalytic activity,32,0.0012050461306721898
GO:0030983,mismatched DNA binding,binding,32,0.0012050461306721898
GO:0005262,calcium channel activity,transporter activity,32,0.0012050461306721898
GO:0008236,serine-type peptidase activity,catalytic activity,32,0.0012050461306721898
GO:0008234,cysteine-type peptidase activity,catalytic activity,32,0.0012050461306721898
GO:0008137,NADH dehydrogenase (ubiquinone) activity,catalytic activity,31,0.001167388439088684
GO:0043424,protein histidine kinase binding,binding,31,0.001167388439088684
GO:0003688,DNA replication origin binding,binding,31,0.001167388439088684
GO:0003730,mRNA 3'-UTR binding,binding,31,0.001167388439088684
GO:0030276,clathrin binding,binding,31,0.001167388439088684
GO:0008353,RNA polymerase II CTD heptapeptide repeat kinase activity,catalytic activity,31,0.001167388439088684
GO:0005351,carbohydrate:proton symporter activity,transporter activity,31,0.001167388439088684
GO:0042910,xenobiotic transmembrane transporter activity,transporter activity,31,0.001167388439088684
GO:0019706,protein-cysteine S-palmitoyltransferase activity,catalytic activity,30,0.001129730747505178
GO:0004521,endoribonuclease activity,catalytic activity,30,0.001129730747505178
GO:0002020,protease binding,binding,30,0.001129730747505178
GO:0008483,transaminase activity,catalytic activity,30,0.001129730747505178
GO:0042277,peptide binding,binding,30,0.001129730747505178
GO:0004725,protein tyrosine phosphatase activity,catalytic activity,30,0.001129730747505178
GO:0005546,"phosphatidylinositol-4,5-bisphosphate binding",binding,30,0.001129730747505178
GO:0043138,3'-5' DNA helicase activity,catalytic activity,30,0.001129730747505178
GO:0000155,phosphorelay sensor kinase activity,catalytic activity,30,0.001129730747505178
GO:0016279,protein-lysine N-methyltransferase activity,catalytic activity,30,0.001129730747505178
GO:0016760,cellulose synthase (UDP-forming) activity,catalytic activity,29,0.001092073055921672
GO:0003824,catalytic activity,catalytic activity,29,0.001092073055921672
GO:0016853,isomerase activity,catalytic activity,29,0.001092073055921672
GO:0008320,protein transmembrane transporter activity,transporter activity,29,0.001092073055921672
GO:0008422,beta-glucosidase activity,catalytic activity,29,0.001092073055921672
GO:0009881,photoreceptor activity,"molecular transducer activity,signaling receptor activity",29,0.001092073055921672
GO:1904680,peptide transmembrane transporter activity,transporter activity,29,0.001092073055921672
GO:0004650,polygalacturonase activity,catalytic activity,29,0.001092073055921672
GO:0030234,enzyme regulator activity,molecular function regulator,29,0.001092073055921672
GO:0015333,peptide:proton symporter activity,transporter activity,29,0.001092073055921672
GO:0001653,peptide receptor activity,"molecular transducer activity,signaling receptor activity",28,0.0010544153643381661
GO:0031593,polyubiquitin modification-dependent protein binding,binding,28,0.0010544153643381661
GO:0080044,quercetin 7-O-glucosyltransferase activity,catalytic activity,28,0.0010544153643381661
GO:0004322,ferroxidase activity,catalytic activity,28,0.0010544153643381661
GO:0003774,motor activity,catalytic activity,28,0.0010544153643381661
GO:0004565,beta-galactosidase activity,catalytic activity,27,0.0010167576727546602
GO:0003725,double-stranded RNA binding,binding,27,0.0010167576727546602
GO:0008327,methyl-CpG binding,binding,26,0.0009790999811711543
GO:0018024,histone-lysine N-methyltransferase activity,catalytic activity,26,0.0009790999811711543
GO:0010385,double-stranded methylated DNA binding,binding,26,0.0009790999811711543
GO:0002161,aminoacyl-tRNA editing activity,catalytic activity,26,0.0009790999811711543
GO:0045735,nutrient reservoir activity,nutrient reservoir activity,26,0.0009790999811711543
GO:0047262,polygalacturonate 4-alpha-galacturonosyltransferase activity,catalytic activity,26,0.0009790999811711543
GO:0019903,protein phosphatase binding,binding,25,0.0009414422895876483
GO:0015288,porin activity,transporter activity,25,0.0009414422895876483
GO:0004364,glutathione transferase activity,catalytic activity,25,0.0009414422895876483
GO:0031491,nucleosome binding,binding,25,0.0009414422895876483
GO:0008061,chitin binding,binding,25,0.0009414422895876483
GO:0004622,lysophospholipase activity,catalytic activity,25,0.0009414422895876483
GO:0070300,phosphatidic acid binding,binding,24,0.0009037845980041423
GO:0070696,transmembrane receptor protein serine/threonine kinase binding,binding,24,0.0009037845980041423
GO:0008022,protein C-terminus binding,binding,24,0.0009037845980041423
GO:0000993,RNA polymerase II complex binding,binding,24,0.0009037845980041423
GO:0008381,mechanosensitive ion channel activity,transporter activity,24,0.0009037845980041423
GO:0016762,xyloglucan:xyloglucosyl transferase activity,catalytic activity,24,0.0009037845980041423
GO:0004620,phospholipase activity,catalytic activity,24,0.0009037845980041423
GO:0051020,GTPase binding,binding,23,0.0008661269064206364
GO:0019888,protein phosphatase regulator activity,molecular function regulator,23,0.0008661269064206364
GO:0070628,proteasome binding,binding,23,0.0008661269064206364
GO:0047372,acylglycerol lipase activity,catalytic activity,23,0.0008661269064206364
GO:0004016,adenylate cyclase activity,catalytic activity,23,0.0008661269064206364
GO:0016759,cellulose synthase activity,catalytic activity,23,0.0008661269064206364
GO:0008408,3'-5' exonuclease activity,catalytic activity,23,0.0008661269064206364
GO:0016597,amino acid binding,binding,23,0.0008661269064206364
GO:0001664,G protein-coupled receptor binding,binding,22,0.0008284692148371305
GO:0015079,potassium ion transmembrane transporter activity,transporter activity,22,0.0008284692148371305
GO:0015020,glucuronosyltransferase activity,catalytic activity,22,0.0008284692148371305
GO:0019200,carbohydrate kinase activity,catalytic activity,22,0.0008284692148371305
GO:0005315,inorganic phosphate transmembrane transporter activity,transporter activity,22,0.0008284692148371305
GO:0008143,poly(A) binding,binding,22,0.0008284692148371305
GO:0070063,RNA polymerase binding,binding,22,0.0008284692148371305
GO:0000146,microfilament motor activity,catalytic activity,22,0.0008284692148371305
GO:0004707,MAP kinase activity,catalytic activity,22,0.0008284692148371305
GO:0030898,actin-dependent ATPase activity,catalytic activity,22,0.0008284692148371305
GO:0008047,enzyme activator activity,molecular function regulator,22,0.0008284692148371305
GO:0036459,thiol-dependent ubiquitin-specific protease activity,catalytic activity,22,0.0008284692148371305
GO:0008324,cation transmembrane transporter activity,transporter activity,21,0.0007908115232536246
GO:0017025,TBP-class protein binding,binding,21,0.0007908115232536246
GO:0003951,NAD+ kinase activity,catalytic activity,21,0.0007908115232536246
GO:0102483,scopolin beta-glucosidase activity,catalytic activity,21,0.0007908115232536246
GO:0015267,channel activity,transporter activity,21,0.0007908115232536246
GO:0010329,auxin efflux transmembrane transporter activity,transporter activity,21,0.0007908115232536246
GO:0046933,"proton-transporting ATP synthase activity, rotational mechanism","transporter activity,catalytic activity",21,0.0007908115232536246
GO:0017108,5'-flap endonuclease activity,catalytic activity,21,0.0007908115232536246
GO:0051787,misfolded protein binding,binding,21,0.0007908115232536246
GO:0019887,protein kinase regulator activity,molecular function regulator,21,0.0007908115232536246
GO:0004525,ribonuclease III activity,catalytic activity,21,0.0007908115232536246
GO:0031624,ubiquitin conjugating enzyme binding,binding,21,0.0007908115232536246
GO:0102336,3-oxo-arachidoyl-CoA synthase activity,catalytic activity,20,0.0007531538316701186
GO:0030552,cAMP binding,binding,20,0.0007531538316701186
GO:0017022,myosin binding,binding,20,0.0007531538316701186
GO:0004177,aminopeptidase activity,catalytic activity,20,0.0007531538316701186
GO:0016671,"oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor",catalytic activity,20,0.0007531538316701186
GO:0008138,protein tyrosine/serine/threonine phosphatase activity,catalytic activity,20,0.0007531538316701186
GO:0102756,very-long-chain 3-ketoacyl-CoA synthase activity,catalytic activity,20,0.0007531538316701186
GO:0004806,triglyceride lipase activity,catalytic activity,20,0.0007531538316701186
GO:0015095,magnesium ion transmembrane transporter activity,transporter activity,20,0.0007531538316701186
GO:0042800,histone methyltransferase activity (H3-K4 specific),catalytic activity,20,0.0007531538316701186
GO:0102337,3-oxo-cerotoyl-CoA synthase activity,catalytic activity,20,0.0007531538316701186
GO:0043023,ribosomal large subunit binding,binding,20,0.0007531538316701186
GO:0004298,threonine-type endopeptidase activity,catalytic activity,20,0.0007531538316701186
GO:0004427,inorganic diphosphatase activity,catalytic activity,20,0.0007531538316701186
GO:0102338,3-oxo-lignoceronyl-CoA synthase activity,catalytic activity,20,0.0007531538316701186
GO:0003756,protein disulfide isomerase activity,catalytic activity,20,0.0007531538316701186
GO:0004559,alpha-mannosidase activity,catalytic activity,20,0.0007531538316701186
GO:0019829,ATPase-coupled cation transmembrane transporter activity,transporter activity,20,0.0007531538316701186
GO:0004864,protein phosphatase inhibitor activity,molecular function regulator,20,0.0007531538316701186
GO:0015086,cadmium ion transmembrane transporter activity,transporter activity,19,0.0007154961400866127
GO:0005384,manganese ion transmembrane transporter activity,transporter activity,19,0.0007154961400866127
GO:0009982,pseudouridine synthase activity,catalytic activity,19,0.0007154961400866127
GO:0004535,poly(A)-specific ribonuclease activity,catalytic activity,19,0.0007154961400866127
GO:0005319,lipid transporter activity,transporter activity,19,0.0007154961400866127
GO:0016308,1-phosphatidylinositol-4-phosphate 5-kinase activity,catalytic activity,19,0.0007154961400866127
GO:0060090,molecular adaptor activity,molecular adaptor activity,19,0.0007154961400866127
GO:0140326,ATPase-coupled intramembrane lipid transporter activity,"transporter activity,catalytic activity",19,0.0007154961400866127
GO:0015631,tubulin binding,binding,19,0.0007154961400866127
GO:0017112,guanyl-nucleotide exchange factor activity,molecular function regulator,19,0.0007154961400866127
GO:0030553,cGMP binding,binding,19,0.0007154961400866127
GO:0008553,"proton-exporting ATPase activity, phosphorylative mechanism",transporter activity,19,0.0007154961400866127
GO:0004527,exonuclease activity,catalytic activity,19,0.0007154961400866127
GO:0004439,"phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity",catalytic activity,18,0.0006778384485031068
GO:0008201,heparin binding,binding,18,0.0006778384485031068
GO:0032266,phosphatidylinositol-3-phosphate binding,binding,18,0.0006778384485031068
GO:0005544,calcium-dependent phospholipid binding,binding,18,0.0006778384485031068
GO:0090430,caffeoyl-CoA: alcohol caffeoyl transferase activity,catalytic activity,18,0.0006778384485031068
GO:0015250,water channel activity,transporter activity,18,0.0006778384485031068
GO:0004673,protein histidine kinase activity,catalytic activity,18,0.0006778384485031068
GO:0005178,integrin binding,binding,18,0.0006778384485031068
GO:0015450,P-P-bond-hydrolysis-driven protein transmembrane transporter activity,transporter activity,18,0.0006778384485031068
GO:0009378,four-way junction helicase activity,catalytic activity,18,0.0006778384485031068
GO:0004029,aldehyde dehydrogenase (NAD+) activity,catalytic activity,18,0.0006778384485031068
GO:0080046,quercetin 4'-O-glucosyltransferase activity,catalytic activity,18,0.0006778384485031068
GO:0032050,clathrin heavy chain binding,binding,18,0.0006778384485031068
GO:0005388,"calcium transmembrane transporter activity, phosphorylative mechanism",transporter activity,18,0.0006778384485031068
GO:0005216,ion channel activity,transporter activity,18,0.0006778384485031068
GO:0015112,nitrate transmembrane transporter activity,transporter activity,17,0.0006401807569196008
GO:0034647,histone demethylase activity (H3-trimethyl-K4 specific),catalytic activity,17,0.0006401807569196008
GO:0032452,histone demethylase activity,catalytic activity,17,0.0006401807569196008
GO:0005049,nuclear export signal receptor activity,molecular carrier activity,17,0.0006401807569196008
GO:0046961,"proton-transporting ATPase activity, rotational mechanism",transporter activity,17,0.0006401807569196008
GO:0070006,metalloaminopeptidase activity,catalytic activity,17,0.0006401807569196008
GO:0016779,nucleotidyltransferase activity,catalytic activity,17,0.0006401807569196008
GO:0000285,1-phosphatidylinositol-3-phosphate 5-kinase activity,catalytic activity,17,0.0006401807569196008
GO:0008574,"ATP-dependent microtubule motor activity, plus-end-directed",catalytic activity,17,0.0006401807569196008
GO:0070180,large ribosomal subunit rRNA binding,binding,17,0.0006401807569196008
GO:0044325,ion channel binding,binding,17,0.0006401807569196008
GO:0005227,calcium activated cation channel activity,transporter activity,17,0.0006401807569196008
GO:0043878,glyceraldehyde-3-phosphate dehydrogenase (NAD+) (non-phosphorylating) activity,catalytic activity,17,0.0006401807569196008
GO:0052716,hydroquinone:oxygen oxidoreductase activity,catalytic activity,17,0.0006401807569196008
GO:0008097,5S rRNA binding,binding,17,0.0006401807569196008
GO:0008810,cellulase activity,catalytic activity,17,0.0006401807569196008
GO:0097718,disordered domain specific binding,binding,17,0.0006401807569196008
GO:0005338,nucleotide-sugar transmembrane transporter activity,transporter activity,17,0.0006401807569196008
GO:0070273,phosphatidylinositol-4-phosphate binding,binding,17,0.0006401807569196008
GO:0003968,RNA-directed 5'-3' RNA polymerase activity,catalytic activity,17,0.0006401807569196008
GO:0001227,"DNA-binding transcription repressor activity, RNA polymerase II-specific",transcription regulator activity,17,0.0006401807569196008
GO:0003843,"1,3-beta-D-glucan synthase activity",catalytic activity,17,0.0006401807569196008
GO:0016702,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen",catalytic activity,17,0.0006401807569196008
GO:0003918,"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity",catalytic activity,17,0.0006401807569196008
GO:0009927,histidine phosphotransfer kinase activity,"molecular transducer activity,catalytic activity",16,0.0006025230653360949
GO:0048027,mRNA 5'-UTR binding,binding,16,0.0006025230653360949
GO:0004743,pyruvate kinase activity,catalytic activity,16,0.0006025230653360949
GO:0008409,5'-3' exonuclease activity,catalytic activity,16,0.0006025230653360949
GO:0003989,acetyl-CoA carboxylase activity,catalytic activity,16,0.0006025230653360949
GO:0030151,molybdenum ion binding,binding,16,0.0006025230653360949
GO:0001671,ATPase activator activity,molecular function regulator,16,0.0006025230653360949
GO:0010427,abscisic acid binding,binding,16,0.0006025230653360949
GO:0015386,potassium:proton antiporter activity,transporter activity,16,0.0006025230653360949
GO:0070402,NADPH binding,binding,16,0.0006025230653360949
GO:0030955,potassium ion binding,binding,16,0.0006025230653360949
GO:0008080,N-acetyltransferase activity,catalytic activity,16,0.0006025230653360949
