GO Annotation ID,GO Annotation Name,Umbrella Annotation Names,Count of OGs with Annotation,Proportion of OGs with Annotation
GO:0005681,spliceosomal complex,protein-containing complex,138,0.005196761438523818
GO:1990904,ribonucleoprotein complex,protein-containing complex,136,0.005121446055356807
GO:0032991,protein-containing complex,protein-containing complex,134,0.0050461306721897945
GO:0009706,chloroplast inner membrane,"membrane,cellular anatomical entity",131,0.004933157597439277
GO:0005759,mitochondrial matrix,"membrane-enclosed lumen,cellular anatomical entity",130,0.004895499905855771
GO:0005819,spindle,"organelle,cellular anatomical entity",122,0.004594238373187723
GO:0005871,kinesin complex,protein-containing complex,117,0.004405949915270194
GO:0000785,chromatin,cellular anatomical entity,116,0.004368292223686688
GO:0022625,cytosolic large ribosomal subunit,protein-containing complex,115,0.004330634532103182
GO:0000932,P-body,"supramolecular complex,organelle,cellular anatomical entity",114,0.004292976840519676
GO:0000790,chromatin,cellular anatomical entity,108,0.004067030691018641
GO:0005694,chromosome,"organelle,cellular anatomical entity",104,0.003916399924684617
GO:0000138,Golgi trans cisterna,cellular anatomical entity,103,0.003878742233101111
GO:0010287,plastoglobule,cellular anatomical entity,102,0.003841084541517605
GO:0031902,late endosome membrane,"membrane,cellular anatomical entity",101,0.003803426849934099
GO:0030176,integral component of endoplasmic reticulum membrane,cellular anatomical entity,96,0.0036151383920165693
GO:0019898,extrinsic component of membrane,cellular anatomical entity,93,0.0035021653172660518
GO:0031410,cytoplasmic vesicle,"organelle,cellular anatomical entity",93,0.0035021653172660518
GO:0080008,Cul4-RING E3 ubiquitin ligase complex,protein-containing complex,91,0.00342684993409904
GO:0005769,early endosome,"organelle,cellular anatomical entity",91,0.00342684993409904
GO:0090406,pollen tube,cellular anatomical entity,90,0.0033891922425155338
GO:0005770,late endosome,"organelle,cellular anatomical entity",90,0.0033891922425155338
GO:0009707,chloroplast outer membrane,"membrane,cellular anatomical entity",90,0.0033891922425155338
GO:0000325,plant-type vacuole,"organelle,cellular anatomical entity",84,0.003163246093014498
GO:0005741,mitochondrial outer membrane,"membrane,cellular anatomical entity",84,0.003163246093014498
GO:0042788,polysomal ribosome,"organelle,cellular anatomical entity",80,0.0030126153266804745
GO:0005797,Golgi medial cisterna,cellular anatomical entity,79,0.0029749576350969684
GO:0071013,catalytic step 2 spliceosome,protein-containing complex,79,0.0029749576350969684
GO:0031966,mitochondrial membrane,"cellular anatomical entity,membrane",77,0.0028996422519299565
GO:0005764,lysosome,"organelle,cellular anatomical entity",76,0.002861984560346451
GO:0022627,cytosolic small ribosomal subunit,protein-containing complex,76,0.002861984560346451
GO:0016592,mediator complex,protein-containing complex,72,0.002711353794012427
GO:0005643,nuclear pore,protein-containing complex,72,0.002711353794012427
GO:0005788,endoplasmic reticulum lumen,"membrane-enclosed lumen,cellular anatomical entity",71,0.002673696102428921
GO:0016604,nuclear body,cellular anatomical entity,71,0.002673696102428921
GO:0010319,stromule,cellular anatomical entity,71,0.002673696102428921
GO:0005938,cell cortex,"cellular anatomical entity,cytoplasm",68,0.0025607230276784034
GO:0032040,small-subunit processome,protein-containing complex,68,0.0025607230276784034
GO:0042644,chloroplast nucleoid,"nucleoid,organelle,cellular anatomical entity",66,0.0024854076445113915
GO:0019005,SCF ubiquitin ligase complex,protein-containing complex,65,0.0024477499529278854
GO:0000502,proteasome complex,protein-containing complex,65,0.0024477499529278854
GO:0005765,lysosomal membrane,"membrane,cellular anatomical entity",64,0.0024100922613443797
GO:0005778,peroxisomal membrane,"membrane,organelle,cellular anatomical entity",62,0.002334776878177368
GO:0005811,lipid droplet,"organelle,cellular anatomical entity",60,0.002259461495010356
GO:0005813,centrosome,cellular anatomical entity,60,0.002259461495010356
GO:0009523,photosystem II,protein-containing complex,59,0.00222180380342685
GO:0031982,vesicle,"cellular anatomical entity,organelle",57,0.002146488420259838
GO:0009504,cell plate,cellular anatomical entity,57,0.002146488420259838
GO:0000151,ubiquitin ligase complex,protein-containing complex,57,0.002146488420259838
GO:0010494,cytoplasmic stress granule,"supramolecular complex,organelle,cellular anatomical entity",56,0.0021088307286763323
GO:0009986,cell surface,cellular anatomical entity,55,0.002071173037092826
GO:0031977,thylakoid lumen,cellular anatomical entity,54,0.0020335153455093204
GO:0000775,"chromosome, centromeric region",cellular anatomical entity,54,0.0020335153455093204
GO:0009501,amyloplast,"organelle,cellular anatomical entity",53,0.0019958576539258143
GO:0045202,synapse,"cell junction,cellular anatomical entity",52,0.0019581999623423086
GO:0015629,actin cytoskeleton,"organelle,cellular anatomical entity",51,0.0019205422707588024
GO:0009543,chloroplast thylakoid lumen,cellular anatomical entity,51,0.0019205422707588024
GO:0030659,cytoplasmic vesicle membrane,"membrane,cellular anatomical entity",50,0.0018828845791752965
GO:0016324,apical plasma membrane,"cellular anatomical entity,membrane",48,0.0018075691960082847
GO:0030425,dendrite,cellular anatomical entity,46,0.0017322538128412728
GO:0000922,spindle pole,cellular anatomical entity,46,0.0017322538128412728
GO:0000307,cyclin-dependent protein kinase holoenzyme complex,protein-containing complex,45,0.0016945961212577669
GO:0042651,thylakoid membrane,"cellular anatomical entity,membrane",44,0.001656938429674261
GO:0030424,axon,cellular anatomical entity,44,0.001656938429674261
GO:0032153,cell division site,cellular anatomical entity,44,0.001656938429674261
GO:0009522,photosystem I,protein-containing complex,42,0.001581623046507249
GO:0000137,Golgi cis cisterna,cellular anatomical entity,41,0.0015439653549237432
GO:0000784,"chromosome, telomeric region",cellular anatomical entity,40,0.0015063076633402373
GO:0031901,early endosome membrane,"membrane,cellular anatomical entity",40,0.0015063076633402373
GO:0030173,integral component of Golgi membrane,cellular anatomical entity,39,0.0014686499717567313
GO:0000145,exocyst,protein-containing complex,39,0.0014686499717567313
GO:0030136,clathrin-coated vesicle,"organelle,cellular anatomical entity",39,0.0014686499717567313
GO:0031201,SNARE complex,protein-containing complex,38,0.0014309922801732254
GO:0005925,focal adhesion,"cell junction,cellular anatomical entity",37,0.0013933345885897195
GO:0005815,microtubule organizing center,cellular anatomical entity,37,0.0013933345885897195
GO:0005793,endoplasmic reticulum-Golgi intermediate compartment,"organelle,cellular anatomical entity",37,0.0013933345885897195
GO:0000786,nucleosome,protein-containing complex,37,0.0013933345885897195
GO:0048226,Casparian strip,cellular anatomical entity,36,0.0013556768970062136
GO:0000781,"chromosome, telomeric region",cellular anatomical entity,35,0.0013180192054227076
GO:0005747,mitochondrial respiratory chain complex I,protein-containing complex,34,0.0012803615138392017
GO:0071944,cell periphery,cellular anatomical entity,34,0.0012803615138392017
GO:0030687,"preribosome, large subunit precursor",protein-containing complex,34,0.0012803615138392017
GO:0015935,small ribosomal subunit,protein-containing complex,34,0.0012803615138392017
GO:0030496,midbody,cellular anatomical entity,34,0.0012803615138392017
GO:0005844,polysome,protein-containing complex,33,0.0012427038222556958
GO:0071011,precatalytic spliceosome,protein-containing complex,33,0.0012427038222556958
GO:0000228,nuclear chromosome,"organelle,cellular anatomical entity",32,0.0012050461306721898
GO:0005667,transcription regulator complex,protein-containing complex,32,0.0012050461306721898
GO:0005771,multivesicular body,"organelle,cellular anatomical entity",31,0.001167388439088684
GO:0008540,"proteasome regulatory particle, base subcomplex",protein-containing complex,31,0.001167388439088684
GO:0000159,protein phosphatase type 2A complex,protein-containing complex,30,0.001129730747505178
GO:0071004,U2-type prespliceosome,protein-containing complex,30,0.001129730747505178
GO:0031012,extracellular matrix,cellular anatomical entity,30,0.001129730747505178
GO:0016363,nuclear matrix,cellular anatomical entity,30,0.001129730747505178
GO:0055028,cortical microtubule,"supramolecular complex,cellular anatomical entity",30,0.001129730747505178
GO:0070469,respirasome,cellular anatomical entity,30,0.001129730747505178
GO:0062023,collagen-containing extracellular matrix,cellular anatomical entity,30,0.001129730747505178
GO:0035861,site of double-strand break,cellular anatomical entity,30,0.001129730747505178
GO:0009654,photosystem II oxygen evolving complex,protein-containing complex,29,0.001092073055921672
GO:0043025,neuronal cell body,cellular anatomical entity,29,0.001092073055921672
GO:0015934,large ribosomal subunit,protein-containing complex,29,0.001092073055921672
GO:0071007,U2-type catalytic step 2 spliceosome,protein-containing complex,29,0.001092073055921672
GO:0005758,mitochondrial intermembrane space,"membrane-enclosed lumen,cellular anatomical entity",29,0.001092073055921672
GO:0032580,Golgi cisterna membrane,"membrane,cellular anatomical entity",28,0.0010544153643381661
GO:0005666,RNA polymerase III complex,protein-containing complex,28,0.0010544153643381661
GO:0009514,glyoxysome,"organelle,cellular anatomical entity",28,0.0010544153643381661
GO:0009532,plastid stroma,cellular anatomical entity,28,0.0010544153643381661
GO:0000326,protein storage vacuole,"organelle,cellular anatomical entity",28,0.0010544153643381661
GO:0009508,plastid chromosome,"organelle,cellular anatomical entity",27,0.0010167576727546602
GO:0005776,autophagosome,"organelle,cellular anatomical entity",27,0.0010167576727546602
GO:0098978,glutamatergic synapse,"cell junction,cellular anatomical entity,synapse",27,0.0010167576727546602
GO:0046540,U4/U6 x U5 tri-snRNP complex,protein-containing complex,26,0.0009790999811711543
GO:0005905,clathrin-coated pit,"cellular anatomical entity,membrane",26,0.0009790999811711543
GO:0000419,RNA polymerase V complex,protein-containing complex,26,0.0009790999811711543
GO:0000776,kinetochore,"supramolecular complex,organelle,cellular anatomical entity",26,0.0009790999811711543
GO:0045335,phagocytic vesicle,"organelle,cellular anatomical entity",26,0.0009790999811711543
GO:0000794,condensed nuclear chromosome,"organelle,cellular anatomical entity",26,0.0009790999811711543
GO:0072686,mitotic spindle,"organelle,cellular anatomical entity",26,0.0009790999811711543
GO:0015030,Cajal body,cellular anatomical entity,26,0.0009790999811711543
GO:0032300,mismatch repair complex,protein-containing complex,26,0.0009790999811711543
GO:0009898,cytoplasmic side of plasma membrane,cellular anatomical entity,25,0.0009414422895876483
GO:0001650,fibrillar center,cellular anatomical entity,25,0.0009414422895876483
GO:0055037,recycling endosome,"organelle,cellular anatomical entity",25,0.0009414422895876483
GO:0070971,endoplasmic reticulum exit site,cellular anatomical entity,25,0.0009414422895876483
GO:0009897,external side of plasma membrane,cellular anatomical entity,25,0.0009414422895876483
GO:0005795,Golgi stack,cellular anatomical entity,25,0.0009414422895876483
GO:0030015,CCR4-NOT core complex,protein-containing complex,25,0.0009414422895876483
GO:0033290,eukaryotic 48S preinitiation complex,protein-containing complex,25,0.0009414422895876483
GO:0000407,phagophore assembly site,cellular anatomical entity,25,0.0009414422895876483
GO:0030133,transport vesicle,"organelle,cellular anatomical entity",25,0.0009414422895876483
GO:0030686,90S preribosome,protein-containing complex,25,0.0009414422895876483
GO:0032586,protein storage vacuole membrane,"membrane,cellular anatomical entity",25,0.0009414422895876483
GO:0005657,replication fork,cellular anatomical entity,24,0.0009037845980041423
GO:0009574,preprophase band,cellular anatomical entity,24,0.0009037845980041423
GO:0016282,eukaryotic 43S preinitiation complex,protein-containing complex,24,0.0009037845980041423
GO:0005669,transcription factor TFIID complex,protein-containing complex,24,0.0009037845980041423
GO:0034399,nuclear periphery,cellular anatomical entity,24,0.0009037845980041423
GO:0014069,postsynaptic density,"organelle,cellular anatomical entity",24,0.0009037845980041423
GO:0005876,spindle microtubule,"supramolecular complex,cellular anatomical entity",23,0.0008661269064206364
GO:0031359,integral component of chloroplast outer membrane,cellular anatomical entity,23,0.0008661269064206364
GO:0000123,histone acetyltransferase complex,protein-containing complex,23,0.0008661269064206364
GO:0017119,Golgi transport complex,protein-containing complex,23,0.0008661269064206364
GO:0031514,motile cilium,"organelle,cellular anatomical entity",23,0.0008661269064206364
GO:0005685,U1 snRNP,protein-containing complex,23,0.0008661269064206364
GO:0005875,microtubule associated complex,protein-containing complex,23,0.0008661269064206364
GO:0015630,microtubule cytoskeleton,"organelle,cellular anatomical entity",23,0.0008661269064206364
GO:0031305,integral component of mitochondrial inner membrane,cellular anatomical entity,22,0.0008284692148371305
GO:0030126,COPI vesicle coat,protein-containing complex,22,0.0008284692148371305
GO:0000777,condensed chromosome kinetochore,"supramolecular complex,organelle,cellular anatomical entity",22,0.0008284692148371305
GO:0035267,NuA4 histone acetyltransferase complex,protein-containing complex,22,0.0008284692148371305
GO:0005801,cis-Golgi network,"organelle,cellular anatomical entity",22,0.0008284692148371305
GO:0016323,basolateral plasma membrane,"cellular anatomical entity,membrane",22,0.0008284692148371305
GO:0000974,Prp19 complex,protein-containing complex,22,0.0008284692148371305
GO:0005665,"RNA polymerase II, core complex",protein-containing complex,22,0.0008284692148371305
GO:0030127,COPII vesicle coat,protein-containing complex,22,0.0008284692148371305
GO:0046930,pore complex,protein-containing complex,21,0.0007908115232536246
GO:0016605,PML body,cellular anatomical entity,21,0.0007908115232536246
GO:0035097,histone methyltransferase complex,protein-containing complex,21,0.0007908115232536246
GO:0005852,eukaryotic translation initiation factor 3 complex,protein-containing complex,21,0.0007908115232536246
GO:0016459,myosin complex,protein-containing complex,21,0.0007908115232536246
GO:0042470,melanosome,"organelle,cellular anatomical entity",21,0.0007908115232536246
GO:0000118,histone deacetylase complex,protein-containing complex,21,0.0007908115232536246
GO:0000347,THO complex,protein-containing complex,20,0.0007531538316701186
GO:0000124,SAGA complex,protein-containing complex,20,0.0007531538316701186
GO:0030054,cell junction,cellular anatomical entity,20,0.0007531538316701186
GO:0045211,postsynaptic membrane,"membrane,cellular anatomical entity",20,0.0007531538316701186
GO:0031594,neuromuscular junction,"cell junction,cellular anatomical entity,synapse",20,0.0007531538316701186
GO:0030014,CCR4-NOT complex,protein-containing complex,19,0.0007154961400866127
GO:0005686,U2 snRNP,protein-containing complex,19,0.0007154961400866127
GO:0071005,U2-type precatalytic spliceosome,protein-containing complex,19,0.0007154961400866127
GO:0005930,axoneme,cellular anatomical entity,19,0.0007154961400866127
GO:0030134,COPII-coated ER to Golgi transport vesicle,"organelle,cellular anatomical entity",19,0.0007154961400866127
GO:0042995,cell projection,cellular anatomical entity,19,0.0007154961400866127
GO:0030688,"preribosome, small subunit precursor",protein-containing complex,18,0.0006778384485031068
GO:0071458,integral component of cytoplasmic side of endoplasmic reticulum membrane,cellular anatomical entity,18,0.0006778384485031068
GO:0036064,ciliary basal body,cellular anatomical entity,18,0.0006778384485031068
GO:0005929,cilium,"organelle,cellular anatomical entity",18,0.0006778384485031068
GO:0043186,P granule,"supramolecular complex,organelle,cellular anatomical entity",18,0.0006778384485031068
GO:0032588,trans-Golgi network membrane,"membrane,cellular anatomical entity",18,0.0006778384485031068
GO:0032585,multivesicular body membrane,"membrane,cellular anatomical entity",18,0.0006778384485031068
GO:0012510,trans-Golgi network transport vesicle membrane,"membrane,cellular anatomical entity",18,0.0006778384485031068
GO:0005736,RNA polymerase I complex,protein-containing complex,18,0.0006778384485031068
GO:0005814,centriole,"organelle,cellular anatomical entity",17,0.0006401807569196008
GO:0000418,RNA polymerase IV complex,protein-containing complex,17,0.0006401807569196008
GO:0005884,actin filament,"supramolecular complex,cellular anatomical entity",17,0.0006401807569196008
GO:0043204,perikaryon,cellular anatomical entity,17,0.0006401807569196008
GO:0000148,"1,3-beta-D-glucan synthase complex",protein-containing complex,17,0.0006401807569196008
GO:0098794,postsynapse,cellular anatomical entity,17,0.0006401807569196008
GO:0005682,U5 snRNP,protein-containing complex,17,0.0006401807569196008
GO:0012507,ER to Golgi transport vesicle membrane,"membrane,cellular anatomical entity",17,0.0006401807569196008
GO:0005689,U12-type spliceosomal complex,protein-containing complex,17,0.0006401807569196008
GO:0043005,neuron projection,cellular anatomical entity,17,0.0006401807569196008
GO:0045121,membrane raft,"cellular anatomical entity,membrane",16,0.0006025230653360949
GO:0030018,Z disc,cellular anatomical entity,16,0.0006025230653360949
GO:0005834,heterotrimeric G-protein complex,protein-containing complex,16,0.0006025230653360949
GO:0005839,proteasome core complex,protein-containing complex,16,0.0006025230653360949
GO:0031464,Cul4A-RING E3 ubiquitin ligase complex,protein-containing complex,16,0.0006025230653360949
GO:0031090,organelle membrane,"cellular anatomical entity,membrane",16,0.0006025230653360949
GO:0000176,nuclear exosome (RNase complex),protein-containing complex,16,0.0006025230653360949
GO:0034045,phagophore assembly site membrane,"cellular anatomical entity,membrane",16,0.0006025230653360949
GO:0045261,"proton-transporting ATP synthase complex, catalytic core F(1)",protein-containing complex,16,0.0006025230653360949
GO:0005719,euchromatin,"cellular anatomical entity,chromatin",15,0.000564865373752589
GO:0031307,integral component of mitochondrial outer membrane,cellular anatomical entity,15,0.000564865373752589
GO:0010330,cellulose synthase complex,protein-containing complex,15,0.000564865373752589
GO:0045177,apical part of cell,cellular anatomical entity,15,0.000564865373752589
GO:0030904,retromer complex,protein-containing complex,15,0.000564865373752589
GO:0000427,plastid-encoded plastid RNA polymerase complex,protein-containing complex,15,0.000564865373752589
GO:0019897,extrinsic component of plasma membrane,cellular anatomical entity,15,0.000564865373752589
GO:0035619,root hair tip,cellular anatomical entity,15,0.000564865373752589
GO:0005663,DNA replication factor C complex,protein-containing complex,15,0.000564865373752589
GO:0005762,mitochondrial large ribosomal subunit,protein-containing complex,15,0.000564865373752589
GO:0000930,gamma-tubulin complex,protein-containing complex,15,0.000564865373752589
GO:0071014,post-mRNA release spliceosomal complex,protein-containing complex,15,0.000564865373752589
GO:0005680,anaphase-promoting complex,protein-containing complex,15,0.000564865373752589
GO:0031011,Ino80 complex,protein-containing complex,15,0.000564865373752589
GO:0051286,cell tip,cellular anatomical entity,15,0.000564865373752589
GO:0042383,sarcolemma,"cellular anatomical entity,membrane",14,0.0005272076821690831
GO:0009925,basal plasma membrane,"cellular anatomical entity,membrane",14,0.0005272076821690831
GO:0009368,endopeptidase Clp complex,protein-containing complex,14,0.0005272076821690831
GO:0000793,condensed chromosome,"organelle,cellular anatomical entity",14,0.0005272076821690831
GO:0030427,site of polarized growth,cellular anatomical entity,14,0.0005272076821690831
GO:0005677,chromatin silencing complex,protein-containing complex,14,0.0005272076821690831
GO:0000329,fungal-type vacuole membrane,"membrane,cellular anatomical entity",14,0.0005272076821690831
GO:0032541,cortical endoplasmic reticulum,cellular anatomical entity,14,0.0005272076821690831
GO:0071561,nucleus-vacuole junction,cellular anatomical entity,14,0.0005272076821690831
GO:0030665,clathrin-coated vesicle membrane,"membrane,cellular anatomical entity",14,0.0005272076821690831
GO:0034707,chloride channel complex,protein-containing complex,14,0.0005272076821690831
GO:0010598,NAD(P)H dehydrogenase complex (plastoquinone),protein-containing complex,14,0.0005272076821690831
GO:0090404,pollen tube tip,cellular anatomical entity,14,0.0005272076821690831
GO:0000792,heterochromatin,"cellular anatomical entity,chromatin",14,0.0005272076821690831
GO:0042645,mitochondrial nucleoid,"nucleoid,organelle,cellular anatomical entity",14,0.0005272076821690831
GO:0042555,MCM complex,protein-containing complex,14,0.0005272076821690831
GO:0000243,commitment complex,protein-containing complex,13,0.0004895499905855771
GO:0016514,SWI/SNF complex,protein-containing complex,13,0.0004895499905855771
GO:0030915,Smc5-Smc6 complex,protein-containing complex,13,0.0004895499905855771
GO:0044297,cell body,cellular anatomical entity,13,0.0004895499905855771
GO:0034451,centriolar satellite,cellular anatomical entity,13,0.0004895499905855771
GO:0071782,endoplasmic reticulum tubular network,cellular anatomical entity,13,0.0004895499905855771
GO:0005779,integral component of peroxisomal membrane,cellular anatomical entity,13,0.0004895499905855771
GO:0005750,mitochondrial respiratory chain complex III,protein-containing complex,13,0.0004895499905855771
GO:0000812,Swr1 complex,protein-containing complex,13,0.0004895499905855771
GO:0043596,nuclear replication fork,cellular anatomical entity,13,0.0004895499905855771
GO:0042597,periplasmic space,cellular anatomical entity,13,0.0004895499905855771
GO:0005720,heterochromatin,"cellular anatomical entity,chromatin",13,0.0004895499905855771
GO:0034663,endoplasmic reticulum chaperone complex,protein-containing complex,13,0.0004895499905855771
GO:0009526,plastid envelope,"cellular anatomical entity,envelope",13,0.0004895499905855771
GO:0031931,TORC1 complex,protein-containing complex,13,0.0004895499905855771
GO:0045271,respiratory chain complex I,protein-containing complex,13,0.0004895499905855771
GO:0098793,presynapse,cellular anatomical entity,13,0.0004895499905855771
GO:0031972,chloroplast intermembrane space,"membrane-enclosed lumen,cellular anatomical entity",13,0.0004895499905855771
GO:0043197,dendritic spine,cellular anatomical entity,13,0.0004895499905855771
GO:0043657,host cell,cellular anatomical entity,13,0.0004895499905855771
GO:0031597,cytosolic proteasome complex,protein-containing complex,13,0.0004895499905855771
GO:0030897,HOPS complex,protein-containing complex,12,0.00045189229900207117
GO:0030027,lamellipodium,cellular anatomical entity,12,0.00045189229900207117
GO:0008250,oligosaccharyltransferase complex,protein-containing complex,12,0.00045189229900207117
GO:0033116,endoplasmic reticulum-Golgi intermediate compartment membrane,"membrane,cellular anatomical entity",12,0.00045189229900207117
GO:0005960,glycine cleavage complex,protein-containing complex,12,0.00045189229900207117
GO:0009509,chromoplast,"organelle,cellular anatomical entity",12,0.00045189229900207117
GO:0000421,autophagosome membrane,"membrane,cellular anatomical entity",12,0.00045189229900207117
GO:0044732,mitotic spindle pole body,cellular anatomical entity,12,0.00045189229900207117
GO:1990316,Atg1/ULK1 kinase complex,protein-containing complex,12,0.00045189229900207117
GO:0044611,nuclear pore inner ring,protein-containing complex,12,0.00045189229900207117
GO:0005732,sno(s)RNA-containing ribonucleoprotein complex,protein-containing complex,12,0.00045189229900207117
GO:0005881,cytoplasmic microtubule,"supramolecular complex,cellular anatomical entity",12,0.00045189229900207117
GO:0070847,core mediator complex,protein-containing complex,12,0.00045189229900207117
GO:0030426,growth cone,cellular anatomical entity,12,0.00045189229900207117
GO:0030132,clathrin coat of coated pit,protein-containing complex,12,0.00045189229900207117
GO:0099080,supramolecular complex,cellular anatomical entity,12,0.00045189229900207117
GO:0009517,PSII associated light-harvesting complex II,protein-containing complex,12,0.00045189229900207117
GO:0030139,endocytic vesicle,"organelle,cellular anatomical entity",12,0.00045189229900207117
GO:0034388,Pwp2p-containing subcomplex of 90S preribosome,protein-containing complex,12,0.00045189229900207117
GO:0005911,cell-cell junction,"cell junction,cellular anatomical entity",12,0.00045189229900207117
GO:0033263,CORVET complex,protein-containing complex,12,0.00045189229900207117
GO:0031252,cell leading edge,cellular anatomical entity,12,0.00045189229900207117
GO:0033588,elongator holoenzyme complex,protein-containing complex,12,0.00045189229900207117
GO:0031461,cullin-RING ubiquitin ligase complex,protein-containing complex,12,0.00045189229900207117
GO:0005740,mitochondrial envelope,"cellular anatomical entity,envelope",12,0.00045189229900207117
GO:0071556,integral component of lumenal side of endoplasmic reticulum membrane,cellular anatomical entity,12,0.00045189229900207117
GO:0000178,exosome (RNase complex),protein-containing complex,12,0.00045189229900207117
GO:0030131,clathrin adaptor complex,protein-containing complex,12,0.00045189229900207117
GO:0072546,EMC complex,protein-containing complex,12,0.00045189229900207117
GO:0090694,Scc2-Scc4 cohesin loading complex,protein-containing complex,11,0.00041423460741856524
GO:0055035,plastid thylakoid membrane,"membrane,cellular anatomical entity",11,0.00041423460741856524
GO:0031519,PcG protein complex,protein-containing complex,11,0.00041423460741856524
GO:0005885,Arp2/3 protein complex,protein-containing complex,11,0.00041423460741856524
GO:0016328,lateral plasma membrane,cellular anatomical entity,11,0.00041423460741856524
GO:0034515,proteasome storage granule,"organelle,cellular anatomical entity",11,0.00041423460741856524
GO:0035102,PRC1 complex,protein-containing complex,11,0.00041423460741856524
GO:0005675,transcription factor TFIIH holo complex,protein-containing complex,11,0.00041423460741856524
GO:0009840,chloroplastic endopeptidase Clp complex,protein-containing complex,11,0.00041423460741856524
GO:0000796,condensin complex,protein-containing complex,11,0.00041423460741856524
GO:0044613,nuclear pore central transport channel,protein-containing complex,11,0.00041423460741856524
GO:0009317,acetyl-CoA carboxylase complex,protein-containing complex,11,0.00041423460741856524
