Taxon,Protein ID,Search Term,Phenolic Protein
affinis-GVCB,TRINITY_DN19973_c0_g1_i1.p1,Chalcone synthase,Chalcone synthase
affinis-GVCB,TRINITY_DN20775_c0_g1_i1.p1,Chalcone--flavonone isomerase,Chalcone--flavonone isomerase
affinis-GVCB,TRINITY_DN21482_c0_g1_i1.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase
affinis-GVCB,TRINITY_DN21837_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 6
affinis-GVCB,TRINITY_DN26066_c0_g1_i1.p1,Flavonol synthase/flavanone 3-hydroxylase,Flavonol synthase/flavanone 3-hydroxylase
affinis-GVCB,TRINITY_DN28504_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 5
argillicola-OEAR,TRINITY_DN245_c0_g1_i1.p1,Chalcone synthase,Chalcone synthase 2
argillicola-OEAR,TRINITY_DN245_c0_g1_i4.p1,Chalcone synthase,Chalcone synthase 2
argillicola-OEAR,TRINITY_DN245_c0_g1_i5.p1,Chalcone synthase,Chalcone synthase 2
argillicola-OEAR,TRINITY_DN253_c0_g1_i1.p1,Chalcone synthase,Chalcone synthase
argillicola-OEAR,TRINITY_DN2129_c0_g1_i3.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase"
argillicola-OEAR,TRINITY_DN2129_c0_g1_i2.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase"
argillicola-OEAR,TRINITY_DN2208_c0_g1_i2.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase
argillicola-OEAR,TRINITY_DN2208_c0_g1_i1.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase
argillicola-OEAR,TRINITY_DN2208_c1_g1_i2.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase 1
argillicola-OEAR,TRINITY_DN2208_c1_g1_i1.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase 1
argillicola-OEAR,TRINITY_DN2588_c0_g1_i2.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
argillicola-OEAR,TRINITY_DN2965_c0_g1_i1.p1,Flavanone 3-dioxygenase,Flavanone 3-dioxygenase 3 {ECO:0000305}
argillicola-OEAR,TRINITY_DN2965_c0_g1_i4.p2,Flavanone 3-dioxygenase,Flavanone 3-dioxygenase 3 {ECO:0000305}
argillicola-OEAR,TRINITY_DN2965_c0_g1_i4.p1,Flavanone 3-dioxygenase,Flavanone 3-dioxygenase 3 {ECO:0000305}
argillicola-OEAR,TRINITY_DN3207_c0_g1_i1.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase 1"
argillicola-OEAR,TRINITY_DN3207_c0_g1_i2.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase 1"
argillicola-OEAR,TRINITY_DN4030_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
argillicola-OEAR,TRINITY_DN4011_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase 1
argillicola-OEAR,TRINITY_DN4883_c0_g1_i1.p1,Trans-cinnamate 4-monooxygenase,Trans-cinnamate 4-monooxygenase
argillicola-OEAR,TRINITY_DN5469_c0_g1_i1.p1,Flavonol synthase/flavanone 3-hydroxylase,Flavonol synthase/flavanone 3-hydroxylase
argillicola-OEAR,TRINITY_DN5469_c0_g1_i1.p2,Flavonol synthase/flavanone 3-hydroxylase,Flavonol synthase/flavanone 3-hydroxylase
argillicola-OEAR,TRINITY_DN7762_c0_g1_i1.p1,"Naringenin,2-oxoglutarate 3-dioxygenase","Naringenin,2-oxoglutarate 3-dioxygenase"
argillicola-OEAR,TRINITY_DN14167_c0_g1_i1.p1,Trans-cinnamate 4-monooxygenase,Trans-cinnamate 4-monooxygenase
argillicola-OEAR,TRINITY_DN14559_c0_g1_i1.p2,Trans-cinnamate 4-monooxygenase,Trans-cinnamate 4-monooxygenase
argillicola-OEAR,TRINITY_DN16485_c0_g1_i1.p1,Flavonol synthase/flavanone 3-hydroxylase,Flavonol synthase/flavanone 3-hydroxylase
argillicola-OEAR,TRINITY_DN16740_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 7
argillicola-OEAR,TRINITY_DN20458_c0_g1_i1.p2,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 6
argillicola-OEAR,TRINITY_DN20458_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 6
argillicola-OEAR,TRINITY_DN20760_c0_g1_i1.p1,Flavonol synthase/flavanone 3-hydroxylase,Flavonol synthase/flavanone 3-hydroxylase
argillicola-OEAR,TRINITY_DN22324_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 5
argillicola-OEAR,TRINITY_DN26050_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 7
argillicola-OEAR,TRINITY_DN31211_c0_g1_i1.p1,Flavanone 3-dioxygenase,Flavanone 3-dioxygenase 2 {ECO:0000305}
argillicola-OEAR,TRINITY_DN31886_c0_g1_i1.p1,"Naringenin,2-oxoglutarate 3-dioxygenase","Naringenin,2-oxoglutarate 3-dioxygenase"
argillicola-OEAR,TRINITY_DN37922_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
argillicola-OEAR,TRINITY_DN45352_c0_g1_i1.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase 1
argillicola-OEAR,TRINITY_DN47455_c0_g1_i1.p1,Flavonoid 3'-monooxygenase,Flavonoid 3'-monooxygenase
argillicola-OEAR,TRINITY_DN47469_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 7
argillicola-OEAR,TRINITY_DN48939_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase 2
argillicola-OEAR,TRINITY_DN52911_c0_g1_i1.p1,Chalcone--flavonone isomerase,Chalcone--flavonone isomerase
berlandieri-EQYT,TRINITY_DN261_c0_g1_i7.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase
berlandieri-EQYT,TRINITY_DN261_c0_g1_i3.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase 3
berlandieri-EQYT,TRINITY_DN261_c0_g1_i5.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase
berlandieri-EQYT,TRINITY_DN261_c0_g1_i1.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase 1
berlandieri-EQYT,TRINITY_DN261_c0_g1_i4.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase
berlandieri-EQYT,TRINITY_DN388_c0_g1_i2.p2,Trans-cinnamate 4-monooxygenase,Trans-cinnamate 4-monooxygenase
berlandieri-EQYT,TRINITY_DN388_c0_g1_i2.p1,Trans-cinnamate 4-monooxygenase,Trans-cinnamate 4-monooxygenase
berlandieri-EQYT,TRINITY_DN388_c0_g1_i4.p2,Trans-cinnamate 4-monooxygenase,Trans-cinnamate 4-monooxygenase
berlandieri-EQYT,TRINITY_DN388_c0_g1_i4.p1,Trans-cinnamate 4-monooxygenase,Trans-cinnamate 4-monooxygenase
berlandieri-EQYT,TRINITY_DN388_c0_g1_i1.p2,Trans-cinnamate 4-monooxygenase,Trans-cinnamate 4-monooxygenase
berlandieri-EQYT,TRINITY_DN388_c0_g1_i1.p1,Trans-cinnamate 4-monooxygenase,Trans-cinnamate 4-monooxygenase
berlandieri-EQYT,TRINITY_DN467_c0_g1_i1.p1,Flavonol synthase/flavanone 3-hydroxylase,Flavonol synthase/flavanone 3-hydroxylase
berlandieri-EQYT,TRINITY_DN467_c0_g2_i1.p1,Flavonol synthase/flavanone 3-hydroxylase,Flavonol synthase/flavanone 3-hydroxylase
berlandieri-EQYT,TRINITY_DN890_c0_g1_i6.p1,Flavonoid 3'-monooxygenase,Flavonoid 3'-monooxygenase
berlandieri-EQYT,TRINITY_DN890_c0_g1_i4.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase 1"
berlandieri-EQYT,TRINITY_DN890_c0_g1_i3.p1,Flavonoid 3'-monooxygenase,Flavonoid 3'-monooxygenase
berlandieri-EQYT,TRINITY_DN890_c0_g1_i7.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase 1"
berlandieri-EQYT,TRINITY_DN1040_c0_g1_i11.p1,Chalcone synthase,Chalcone synthase 2
berlandieri-EQYT,TRINITY_DN1040_c0_g1_i1.p1,Chalcone synthase,Chalcone synthase 2
berlandieri-EQYT,TRINITY_DN1040_c0_g1_i13.p1,Chalcone synthase,Chalcone synthase 2
berlandieri-EQYT,TRINITY_DN1040_c0_g1_i9.p1,Chalcone synthase,Chalcone synthase 2
berlandieri-EQYT,TRINITY_DN1040_c0_g1_i6.p1,Chalcone synthase,Chalcone synthase 2
berlandieri-EQYT,TRINITY_DN1040_c0_g1_i7.p1,Chalcone synthase,Chalcone synthase 2
berlandieri-EQYT,TRINITY_DN1040_c0_g1_i4.p1,Chalcone synthase,Chalcone synthase 2
berlandieri-EQYT,TRINITY_DN1097_c0_g1_i3.p1,"Naringenin,2-oxoglutarate 3-dioxygenase","Naringenin,2-oxoglutarate 3-dioxygenase"
berlandieri-EQYT,TRINITY_DN1097_c0_g1_i2.p1,"Naringenin,2-oxoglutarate 3-dioxygenase","Naringenin,2-oxoglutarate 3-dioxygenase"
berlandieri-EQYT,TRINITY_DN1097_c0_g1_i1.p1,"Naringenin,2-oxoglutarate 3-dioxygenase","Naringenin,2-oxoglutarate 3-dioxygenase"
berlandieri-EQYT,TRINITY_DN3057_c0_g1_i3.p1,Flavonol synthase/flavanone 3-hydroxylase,Flavonol synthase/flavanone 3-hydroxylase
berlandieri-EQYT,TRINITY_DN3057_c0_g1_i2.p1,Flavonol synthase/flavanone 3-hydroxylase,Flavonol synthase/flavanone 3-hydroxylase
berlandieri-EQYT,TRINITY_DN3057_c0_g1_i1.p1,Flavonol synthase/flavanone 3-hydroxylase,Flavonol synthase/flavanone 3-hydroxylase
berlandieri-EQYT,TRINITY_DN3195_c0_g1_i4.p1,Chalcone synthase,Chalcone synthase 1
berlandieri-EQYT,TRINITY_DN3195_c0_g1_i1.p1,Chalcone synthase,Chalcone synthase 2
berlandieri-EQYT,TRINITY_DN3195_c0_g1_i2.p1,Chalcone synthase,Chalcone synthase 1
berlandieri-EQYT,TRINITY_DN3195_c0_g1_i6.p1,Chalcone synthase,Chalcone synthase 2
berlandieri-EQYT,TRINITY_DN3522_c0_g1_i2.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase 2"
berlandieri-EQYT,TRINITY_DN3522_c0_g1_i5.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase 1"
berlandieri-EQYT,TRINITY_DN3522_c0_g1_i7.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase 1"
berlandieri-EQYT,TRINITY_DN3522_c0_g1_i11.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase 1"
berlandieri-EQYT,TRINITY_DN3522_c0_g1_i11.p2,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase 1"
berlandieri-EQYT,TRINITY_DN3522_c0_g1_i10.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase 1"
berlandieri-EQYT,TRINITY_DN3522_c0_g1_i10.p2,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase 1"
berlandieri-EQYT,TRINITY_DN3522_c0_g1_i6.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase 1"
berlandieri-EQYT,TRINITY_DN3522_c0_g1_i4.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase 1"
berlandieri-EQYT,TRINITY_DN3522_c0_g1_i4.p2,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase 1"
berlandieri-EQYT,TRINITY_DN3522_c0_g1_i3.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase 1"
berlandieri-EQYT,TRINITY_DN3522_c0_g2_i1.p1,"Flavonoid 3',5'-hydroxylase","Flavonoid 3',5'-hydroxylase"
berlandieri-EQYT,TRINITY_DN3653_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 7
berlandieri-EQYT,TRINITY_DN3653_c0_g1_i2.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 7
berlandieri-EQYT,TRINITY_DN3955_c0_g2_i5.p1,Chalcone synthase,Chalcone synthase 2
berlandieri-EQYT,TRINITY_DN3955_c0_g2_i1.p1,Chalcone synthase,Chalcone synthase 1
berlandieri-EQYT,TRINITY_DN3955_c0_g2_i2.p1,Chalcone synthase,Chalcone synthase 2
berlandieri-EQYT,TRINITY_DN3955_c0_g2_i3.p1,Chalcone synthase,Chalcone synthase 3
berlandieri-EQYT,TRINITY_DN3955_c1_g1_i1.p1,Chalcone synthase,Chalcone synthase 1
berlandieri-EQYT,TRINITY_DN5088_c0_g1_i5.p1,Flavonoid 3'-monooxygenase,Flavonoid 3'-monooxygenase
berlandieri-EQYT,TRINITY_DN5088_c0_g1_i4.p1,Flavonoid 3'-monooxygenase,Flavonoid 3'-monooxygenase
berlandieri-EQYT,TRINITY_DN5088_c0_g1_i1.p1,Flavonoid 3'-monooxygenase,Flavonoid 3'-monooxygenase
berlandieri-EQYT,TRINITY_DN5088_c0_g1_i2.p1,Flavonoid 3'-monooxygenase,Flavonoid 3'-monooxygenase
berlandieri-EQYT,TRINITY_DN5088_c0_g1_i6.p1,Flavonoid 3'-monooxygenase,Flavonoid 3'-monooxygenase
berlandieri-EQYT,TRINITY_DN5213_c0_g1_i7.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase 1
berlandieri-EQYT,TRINITY_DN5213_c0_g1_i2.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase 1
berlandieri-EQYT,TRINITY_DN5213_c0_g1_i3.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase 1
berlandieri-EQYT,TRINITY_DN5213_c0_g1_i8.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase 1
berlandieri-EQYT,TRINITY_DN5213_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase 1
berlandieri-EQYT,TRINITY_DN5947_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 4
berlandieri-EQYT,TRINITY_DN5947_c0_g1_i15.p2,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 4
berlandieri-EQYT,TRINITY_DN6868_c0_g1_i2.p2,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
berlandieri-EQYT,TRINITY_DN6868_c0_g1_i2.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
berlandieri-EQYT,TRINITY_DN6868_c0_g1_i3.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
berlandieri-EQYT,TRINITY_DN6868_c0_g1_i3.p2,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
berlandieri-EQYT,TRINITY_DN6868_c0_g1_i4.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
berlandieri-EQYT,TRINITY_DN6868_c0_g1_i1.p2,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
berlandieri-EQYT,TRINITY_DN6868_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
berlandieri-EQYT,TRINITY_DN6975_c0_g1_i1.p1,Chalcone--flavonone isomerase,Chalcone--flavonone isomerase
berlandieri-EQYT,TRINITY_DN6975_c0_g2_i2.p1,Chalcone--flavonone isomerase,Chalcone--flavonone isomerase
berlandieri-EQYT,TRINITY_DN7423_c0_g1_i1.p1,Chalcone synthase,Chalcone synthase 1
berlandieri-EQYT,TRINITY_DN7433_c0_g1_i1.p1,Flavonoid 3'-monooxygenase,Flavonoid 3'-monooxygenase
berlandieri-EQYT,TRINITY_DN9663_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
berlandieri-EQYT,TRINITY_DN9663_c0_g1_i2.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
berlandieri-EQYT,TRINITY_DN10190_c0_g1_i1.p1,Trans-cinnamate 4-monooxygenase,Trans-cinnamate 4-monooxygenase
berlandieri-EQYT,TRINITY_DN10190_c0_g2_i1.p1,Trans-cinnamate 4-monooxygenase,Trans-cinnamate 4-monooxygenase
berlandieri-EQYT,TRINITY_DN10223_c0_g1_i1.p1,Chalcone synthase,Chalcone synthase
berlandieri-EQYT,TRINITY_DN10521_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
berlandieri-EQYT,TRINITY_DN10521_c0_g1_i2.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
berlandieri-EQYT,TRINITY_DN10900_c0_g1_i1.p1,"Naringenin,2-oxoglutarate 3-dioxygenase","Naringenin,2-oxoglutarate 3-dioxygenase"
berlandieri-EQYT,TRINITY_DN10900_c0_g3_i1.p1,"Naringenin,2-oxoglutarate 3-dioxygenase","Naringenin,2-oxoglutarate 3-dioxygenase"
berlandieri-EQYT,TRINITY_DN11456_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 6
berlandieri-EQYT,TRINITY_DN12579_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
berlandieri-EQYT,TRINITY_DN12616_c0_g1_i1.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase
berlandieri-EQYT,TRINITY_DN12616_c0_g2_i2.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase
berlandieri-EQYT,TRINITY_DN12616_c0_g2_i1.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase
berlandieri-EQYT,TRINITY_DN12616_c0_g3_i1.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase 2
berlandieri-EQYT,TRINITY_DN13660_c0_g2_i1.p2,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 7
berlandieri-EQYT,TRINITY_DN13836_c0_g2_i1.p2,4-coumarate--CoA ligase,4-coumarate--CoA ligase 2
berlandieri-EQYT,TRINITY_DN13836_c0_g2_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase 2
berlandieri-EQYT,TRINITY_DN19143_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 6
berlandieri-EQYT,TRINITY_DN22871_c0_g1_i1.p1,Flavonol synthase/flavanone 3-hydroxylase,Flavonol synthase/flavanone 3-hydroxylase
berlandieri-EQYT,TRINITY_DN23930_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 5
berlandieri-EQYT,TRINITY_DN25496_c0_g1_i1.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase
berlandieri-EQYT,TRINITY_DN28434_c0_g1_i1.p1,Flavonol synthase/flavanone 3-hydroxylase,Flavonol synthase/flavanone 3-hydroxylase
berlandieri-EQYT,TRINITY_DN28434_c0_g1_i1.p2,Flavonol synthase/flavanone 3-hydroxylase,Flavonol synthase/flavanone 3-hydroxylase
biennis-EXGW,TRINITY_DN576_c0_g1_i1.p1,Trans-cinnamate 4-monooxygenase,Trans-cinnamate 4-monooxygenase
biennis-EXGW,TRINITY_DN754_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
biennis-EXGW,TRINITY_DN754_c0_g1_i2.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
biennis-EXGW,TRINITY_DN1661_c0_g1_i4.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase 1
biennis-EXGW,TRINITY_DN1661_c0_g1_i3.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase 1
biennis-EXGW,TRINITY_DN1661_c0_g1_i2.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase 1
biennis-EXGW,TRINITY_DN1661_c0_g2_i3.p1,Phenylalanine ammonia-lyase,Phenylalanine ammonia-lyase
biennis-EXGW,TRINITY_DN1618_c0_g1_i1.p1,Flavonol synthase/flavanone 3-hydroxylase,Flavonol synthase/flavanone 3-hydroxylase
biennis-EXGW,TRINITY_DN1908_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 7
biennis-EXGW,TRINITY_DN2907_c0_g1_i1.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
biennis-EXGW,TRINITY_DN2907_c0_g1_i2.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
biennis-EXGW,TRINITY_DN2907_c0_g1_i4.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
biennis-EXGW,TRINITY_DN2907_c0_g1_i3.p2,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
biennis-EXGW,TRINITY_DN2907_c0_g1_i3.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
biennis-EXGW,TRINITY_DN2907_c0_g1_i6.p1,4-coumarate--CoA ligase,4-coumarate--CoA ligase-like 9
